Term Locale,Term Category,Term,Alias,Case Sensitive
en-us,Legal - Real Estate,Closing Costs,,FALSE
en-us,Legal - Real Estate,Closing Disclosure,CD,FALSE
en-us,Legal - Real Estate,Closing Statement,,FALSE
en-us,Legal - Real Estate,Cloud on Title,,FALSE
en-us,Legal - Real Estate,Cluster Development,,FALSE
en-us,Legal - Real Estate,Co-Housing,,FALSE
en-us,Legal - Real Estate,Co-Insurance,,FALSE
en-us,Legal - Real Estate,Co-Maker,,FALSE
en-us,Legal - Real Estate,Co-Signer,,FALSE
en-us,Legal - Real Estate,Codicil,,FALSE
en-us,Legal - Real Estate,Collateral,,FALSE
en-us,Legal - Real Estate,Collection,,FALSE
en-us,Legal - Real Estate,Commencement Date,,FALSE
en-us,Legal - Real Estate,Commercial Bank,,FALSE
en-us,Legal - Real Estate,Commercial Property,,FALSE
en-us,Legal - Real Estate,Commingling,,FALSE
en-us,Legal - Real Estate,Commission,,FALSE
en-us,Legal - Real Estate,Commission On a Listing Agreement,,FALSE
en-us,Legal - Real Estate,Commitment,,FALSE
en-us,Legal - Real Estate,Commitment Fee,,FALSE
en-us,Legal - Real Estate,Common-Area Assessments,,FALSE
en-us,Legal - Real Estate,Common-Interest Development,,FALSE
en-us,Legal - Real Estate,Common Law,,FALSE
en-us,Legal - Real Estate,Community Property,,FALSE
en-us,Legal - Real Estate,Community Reinvestment Act,,FALSE
en-us,Legal - Real Estate,Comparables,,FALSE
en-us,Legal - Real Estate,Comparative Market Analysis,,FALSE
en-us,Legal - Real Estate,Competent,,FALSE
en-us,Legal - Real Estate,Compound Interest,,FALSE
en-us,Legal - Real Estate,Condemnation,,FALSE
en-us,Legal - Real Estate,Conditional Commitment,,FALSE
en-us,Legal - Real Estate,Condominium,,FALSE
en-us,Legal - Real Estate,Condominium Conversion,,FALSE
en-us,Legal - Real Estate,Consent Judgment,,FALSE
en-us,Legal - Real Estate,Conservator,,FALSE
en-us,Legal - Real Estate,Consideration,,FALSE
en-us,Legal - Real Estate,Construction Budget,,FALSE
en-us,Legal - Real Estate,Construction Documents,,FALSE
en-us,Legal - Real Estate,Construction Loan,,FALSE
en-us,Legal - Real Estate,Construction To Permanent Loan,,FALSE
en-us,Legal - Real Estate,Consumer Credit Counseling Service,CCCS,FALSE
en-us,Legal - Real Estate,Contemporary Style,,FALSE
en-us,Legal - Real Estate,Contiguous Lots,,FALSE
en-us,Legal - Real Estate,Contingency,,FALSE
en-us,Legal - Real Estate,Contingency Listing,,FALSE
en-us,Legal - Real Estate,Contingent Fee,,FALSE
en-us,Legal - Real Estate,Contract,,FALSE
en-us,Legal - Real Estate,Contract For Deed,,FALSE
en-us,Legal - Real Estate,Contract of Sale,,FALSE
en-us,Legal - Real Estate,Contract To Purchase,,FALSE
en-us,Legal - Real Estate,Contractor,,FALSE
en-us,Legal - Real Estate,Contractual Lien,,FALSE
en-us,Legal - Real Estate,Controlled Growth,,FALSE
en-us,Legal - Real Estate,Conventional Loan,,FALSE
en-us,Legal - Real Estate,Convertible Adjustable-Rate Mortgage,,FALSE
en-us,Legal - Real Estate,Conveyance,,FALSE
en-us,Legal - Real Estate,Conveyance Tax,,FALSE
en-us,Legal - Real Estate,Cooperating Broker,,FALSE
en-us,Legal - Real Estate,Cooperative Corporation,,FALSE
en-us,Legal - Real Estate,Cooperative Mortgages,,FALSE
en-us,Legal - Real Estate,Cooperative Project,,FALSE
en-us,Legal - Real Estate,Corner Influence,,FALSE
en-us,Legal - Real Estate,Corporate Relocation,,FALSE
en-us,Legal - Real Estate,Correct Zoning,,FALSE
en-us,Legal - Real Estate,Corrective Work,,FALSE
en-us,Legal - Real Estate,Cost-Plus Contract,,FALSE
en-us,Legal - Real Estate,Cottage,,FALSE
en-us,Legal - Real Estate,Counteroffer,,FALSE
en-us,Legal - Real Estate,Covenant,,FALSE
en-us,Legal - Real Estate,"Covenants, Conditions and Restrictions",CC&Rs,FALSE
en-us,Legal - Real Estate,Cpi and Market Rent Escalation,,FALSE
en-us,Legal - Real Estate,Craftsman Style,,FALSE
en-us,Legal - Real Estate,Creative Financing,,FALSE
en-us,Legal - Real Estate,Credit,,FALSE
en-us,Legal - Real Estate,Credit Card Discounts,,FALSE
en-us,Legal - Real Estate,Credit History,,FALSE
en-us,Legal - Real Estate,Credit Life Insurance,,FALSE
en-us,Legal - Real Estate,Credit Rating,,FALSE
en-us,Legal - Real Estate,Credit Report,,FALSE
en-us,Legal - Real Estate,Credit Repository,,FALSE
en-us,Legal - Real Estate,Credit Union,,FALSE
en-us,Legal - Real Estate,Creditor,,FALSE
en-us,Legal - Real Estate,Curable Defect,,FALSE
en-us,Legal - Real Estate,Curb Appeal,,FALSE
en-us,Legal - Real Estate,Custom Builder,,FALSE
en-us,Legal - Real Estate,Custom Home,,FALSE
en-us,Legal - Real Estate,Damage & Destruction,,FALSE
en-us,Legal - Real Estate,Damper,,FALSE
en-us,Legal - Real Estate,Days On The Market,,FALSE
en-us,Legal - Real Estate,Debt,,FALSE
en-us,Legal - Real Estate,Debt Coverage Ratio,,FALSE
en-us,Legal - Real Estate,Debt Service,,FALSE
en-us,Legal - Real Estate,Deed,,FALSE
en-us,Legal - Real Estate,Deed of Trust,,FALSE
en-us,Legal - Real Estate,Deep-Seal Floor Drain,,FALSE
en-us,Legal - Real Estate,Default,,FALSE
en-us,Legal - Real Estate,Deferred Maintenance,,FALSE
en-us,Legal - Real Estate,Delinquent Mortgage,,FALSE
en-us,Legal - Real Estate,Density Test,,FALSE
en-us,Legal - Real Estate,Deposit,,FALSE
en-us,Legal - Real Estate,Depreciation,,FALSE
en-us,Legal - Real Estate,Design,Build,FALSE
en-us,Legal - Real Estate,Designer,,FALSE
en-us,Legal - Real Estate,Digital Images,,FALSE
en-us,Legal - Real Estate,Dimension Plans,,FALSE
en-us,Legal - Real Estate,Disability Insurance,,FALSE
en-us,Legal - Real Estate,Disclosure,,FALSE
en-us,Legal - Real Estate,Discount Points,,FALSE
en-us,Legal - Real Estate,Distressed Property,,FALSE
en-us,Legal - Real Estate,Document Needs List,,FALSE
en-us,Legal - Real Estate,Domed Ceiling,,FALSE
en-us,Legal - Real Estate,Domicile,,FALSE
en-us,Legal - Real Estate,Down Payment,,FALSE
en-us,Legal - Real Estate,Draw,,FALSE
en-us,Legal - Real Estate,Dropped Ceiling,,FALSE
en-us,Legal - Real Estate,Dual Agency,,FALSE
en-us,Legal - Real Estate,Due-On-Sale Clause,,FALSE
en-us,Legal - Real Estate,Duplex,,FALSE
en-us,Legal - Real Estate,Dutch Colonial Style,,FALSE
en-us,Legal - Real Estate,Early Occupancy,,FALSE
en-us,Legal - Real Estate,Earnest Money,,FALSE
en-us,Legal - Real Estate,Earthquake Insurance,,FALSE
en-us,Legal - Real Estate,Easement,,FALSE
en-us,Legal - Real Estate,Effective Age,,FALSE
en-us,Legal - Real Estate,Effective Gross Income,,FALSE
en-us,Legal - Real Estate,Effective Rental Income,,FALSE
en-us,Legal - Real Estate,Electric Service Panel,,FALSE
en-us,Legal - Real Estate,Eminent Domain,,FALSE
en-us,Legal - Real Estate,Employer-Assisted Housing,,FALSE
en-us,Legal - Real Estate,Empty Nesters,,FALSE
en-us,Legal - Real Estate,Encroachment,,FALSE
en-us,Legal - Real Estate,Encumbrance,,FALSE
en-us,Legal - Real Estate,End Loan,,FALSE
en-us,Legal - Real Estate,Endorser,,FALSE
en-us,Legal - Real Estate,English Tudor Style,,FALSE
en-us,Legal - Real Estate,Environmental Impact Statement,,FALSE
en-us,Legal - Real Estate,Environmentally Friendly Home Construction,,FALSE
en-us,Legal - Real Estate,Equal Credit Opportunity Act,EEOC,FALSE
en-us,Legal - Real Estate,Equifax,,FALSE
en-us,Legal - Real Estate,Equity,,FALSE
en-us,Legal - Real Estate,Equivalent Level Rate,ELR,FALSE
en-us,Legal - Real Estate,Errors and Omissions Insurance,,FALSE
en-us,Legal - Real Estate,Escalation,,FALSE
en-us,Legal - Real Estate,Escrow,,FALSE
en-us,Legal - Real Estate,Escrow Account,,FALSE
en-us,Legal - Real Estate,Escrow Agent,,FALSE
en-us,Legal - Real Estate,Escrow Analysis,,FALSE
en-us,Legal - Real Estate,Escrow Closing,,FALSE
en-us,Legal - Real Estate,Escrow Company,,FALSE
en-us,Legal - Real Estate,Escrow Payment,,FALSE
en-us,Legal - Real Estate,Estate,,FALSE
en-us,Legal - Real Estate,Estimated Gross Costs of Buying,,FALSE
en-us,Legal - Real Estate,Estimated Increase In Equity,,FALSE
en-us,Legal - Real Estate,Estimated Net Costs of Buying,,FALSE
en-us,Legal - Real Estate,Estimated Tax Savings,,FALSE
en-us,Legal - Real Estate,Estimated Total Costs of Renting,,FALSE
en-us,Legal - Real Estate,Estimated Total Savings,,FALSE
en-us,Legal - Real Estate,Estoppel Certificate,,FALSE
en-us,Legal - Real Estate,Eviction,,FALSE
en-us,Legal - Real Estate,Examination of Title,,FALSE
en-us,Legal - Real Estate,Excavation,,FALSE
en-us,Legal - Real Estate,Exchange,,FALSE
en-us,Legal - Real Estate,Exclusive Listing,,FALSE
en-us,Legal - Real Estate,Exclusivity,,FALSE
en-us,Legal - Real Estate,Executor,,FALSE
en-us,Legal - Real Estate,Expense Stop,,FALSE
en-us,Legal - Real Estate,Experian,,FALSE
en-us,Legal - Real Estate,Extension Option,,FALSE
en-us,Legal - Real Estate,Facade,,FALSE
en-us,Legal - Real Estate,Fair Credit Billing Act,,FALSE
en-us,Legal - Real Estate,Fair Credit Reporting Act,,FALSE
en-us,Legal - Real Estate,Fair Debt Collection Practices Act,,FALSE
en-us,Legal - Real Estate,Fair Housing Act,,FALSE
en-us,Legal - Real Estate,Fannie Mae,,FALSE
en-us,Legal - Real Estate,Farmer's Home Administration,,FALSE
en-us,Legal - Real Estate,Federal Home Loan Mortgage Corporation,,FALSE
en-us,Legal - Real Estate,Federal Housing Administration,FHA,FALSE
en-us,Legal - Real Estate,Federal National Mortgage Association,FNMA,FALSE
en-us,Legal - Real Estate,Federal Reserve Board,,FALSE
en-us,Legal - Real Estate,Federal Style,,FALSE
en-us,Legal - Real Estate,Federal Trade Commission,,FALSE
en-us,Legal - Real Estate,Fee Simple,,FALSE
en-us,Legal - Real Estate,Fee Simple Defeasible,,FALSE
en-us,Legal - Real Estate,Ff&E,,FALSE
en-us,Legal - Real Estate,Fha Loan,,FALSE
en-us,Legal - Real Estate,Fiduciary Duty,,FALSE
en-us,Legal - Real Estate,Field Changes,,FALSE
en-us,Legal - Real Estate,Finder's Fee,,FALSE
en-us,Legal - Real Estate,Finish Grade,,FALSE
en-us,Legal - Real Estate,Firm Commitment,,FALSE
en-us,Legal - Real Estate,First Mortgage,,FALSE
en-us,Legal - Real Estate,Fixed Installment,,FALSE
en-us,Legal - Real Estate,Fixed-Rate Mortgage,,FALSE
en-us,Legal - Real Estate,Fixed Time,,FALSE
en-us,Legal - Real Estate,Fixer-Upper,,FALSE
en-us,Legal - Real Estate,Flood Insurance,,FALSE
en-us,Legal - Real Estate,Flood Plain,,FALSE
en-us,Legal - Real Estate,Floor Area Ratio,,FALSE
en-us,Legal - Real Estate,For Sale By Owner,FSBO,FALSE
en-us,Legal - Real Estate,Forbearance,,FALSE
en-us,Legal - Real Estate,Foreclosure,,FALSE
en-us,Legal - Real Estate,Forfeiture,,FALSE
en-us,Legal - Real Estate,Freddie Mac,,FALSE
en-us,Legal - Real Estate,Free-Market Lots,,FALSE
en-us,Legal - Real Estate,Fully Amortized Adjustable-Rate Mortgage,,FALSE
en-us,Legal - Real Estate,Fully-Serviced Lease,,FALSE
en-us,Legal - Real Estate,Gag Rules,,FALSE
en-us,Legal - Real Estate,General Contractor,,FALSE
en-us,Legal - Real Estate,General Plan,,FALSE
en-us,Legal - Real Estate,Georgian Style,,FALSE
en-us,Legal - Real Estate,Gift,,FALSE
en-us,Legal - Real Estate,Government National Mortgage Association,Ginnie Mae,FALSE
en-us,Legal - Real Estate,Grace Period,,FALSE
en-us,Legal - Real Estate,Graduated-Payment Mortgage,GPM,FALSE
en-us,Legal - Real Estate,Granny Flat,,FALSE
en-us,Legal - Real Estate,Grantee,,FALSE
en-us,Legal - Real Estate,Grantor,,FALSE
en-us,Legal - Real Estate,Greek Revival Style,,FALSE
en-us,Legal - Real Estate,Gross Income,,FALSE
en-us,Legal - Real Estate,Gross Lease,,FALSE
en-us,Legal - Real Estate,Gross Up,,FALSE
en-us,Legal - Real Estate,Ground Lease,,FALSE
en-us,Legal - Real Estate,Ground Rent,,FALSE
en-us,Legal - Real Estate,Group Home,,FALSE
en-us,Legal - Real Estate,Growing-Equity Mortgage,,FALSE
en-us,Legal - Real Estate,Guarantee Mortgage,,FALSE
en-us,Legal - Real Estate,Half-Bath,,FALSE
en-us,Legal - Real Estate,Hazard Insurance,,FALSE
en-us,Legal - Real Estate,Hectare,,FALSE
en-us,Legal - Real Estate,High Density,,FALSE
en-us,Legal - Real Estate,High-Rise,,FALSE
en-us,Legal - Real Estate,Historic Preservation,,FALSE
en-us,Legal - Real Estate,Historic Structure,,FALSE
en-us,Legal - Real Estate,Home Equity Conversion Mortgage,,FALSE
en-us,Legal - Real Estate,Home Equity Line of Credit,,FALSE
en-us,Legal - Real Estate,Home Equity Loan,,FALSE
en-us,Legal - Real Estate,Home Inspection,,FALSE
en-us,Legal - Real Estate,Home Rule,,FALSE
en-us,Legal - Real Estate,Home Warranty,,FALSE
en-us,Legal - Real Estate,Homeowners' Association,HOA,FALSE
en-us,Legal - Real Estate,Homeowners' Insurance,,FALSE
en-us,Legal - Real Estate,Homeowners' Warranty,,FALSE
en-us,Legal - Real Estate,Homesteading,,FALSE
en-us,Legal - Real Estate,Hours of Operation,,FALSE
en-us,Legal - Real Estate,Housing Discrimination,,FALSE
en-us,Legal - Real Estate,Housing Expense Ratio,,FALSE
en-us,Legal - Real Estate,Impact Fees,,FALSE
en-us,Legal - Real Estate,Implied Warranty of Habitability,,FALSE
en-us,Legal - Real Estate,Impounds,,FALSE
en-us,Legal - Real Estate,In-File Credit Report,,FALSE
en-us,Legal - Real Estate,Income Property,,FALSE
en-us,Legal - Real Estate,Incurable Defect,,FALSE
en-us,Legal - Real Estate,Index,,FALSE
en-us,Legal - Real Estate,Individual Retirement Account,IRA,FALSE
en-us,Legal - Real Estate,Infill Development,,FALSE
en-us,Legal - Real Estate,Infill Housing,,FALSE
en-us,Legal - Real Estate,Inflation,,FALSE
en-us,Legal - Real Estate,Infrastructure,,FALSE
en-us,Legal - Real Estate,Initial Interest Rate,,FALSE
en-us,Legal - Real Estate,Inspection Report,,FALSE
en-us,Legal - Real Estate,Installment Contract,,FALSE
en-us,Legal - Real Estate,Insulation,,FALSE
en-us,Legal - Real Estate,Insurable Title,,FALSE
en-us,Legal - Real Estate,Insurance,,FALSE
en-us,Legal - Real Estate,Insurance Binder,,FALSE
en-us,Legal - Real Estate,Interest,,FALSE
en-us,Legal - Real Estate,Interest Accrual Rate,,FALSE
en-us,Legal - Real Estate,Interest-Only Loan,,FALSE
en-us,Legal - Real Estate,Interest Rate,,FALSE
en-us,Legal - Real Estate,Interest Rate Buy-Down Plans,,FALSE
en-us,Legal - Real Estate,Interest Rate Caps,,FALSE
en-us,Legal - Real Estate,Interest Rate Ceiling,,FALSE
en-us,Legal - Real Estate,Investment Property,,FALSE
en-us,Legal - Real Estate,Investment Related Savings,,FALSE
en-us,Legal - Real Estate,Investment Return,,FALSE
en-us,Legal - Real Estate,Joint Liability,,FALSE
en-us,Legal - Real Estate,Joint Tenancy,,FALSE
en-us,Legal - Real Estate,Judgment,,FALSE
en-us,Legal - Real Estate,Judicial Foreclosure,,FALSE
en-us,Legal - Real Estate,Jumbo Mortgage,,FALSE
en-us,Legal - Real Estate,Junior Mortgage,,FALSE
en-us,Legal - Real Estate,Kit Home,,FALSE
en-us,Legal - Real Estate,Knob-And-Tube Wiring,,FALSE
en-us,Legal - Real Estate,Landscape Architect,,FALSE
en-us,Legal - Real Estate,Landscape Contractor,,FALSE
en-us,Legal - Real Estate,Late Charge,,FALSE
en-us,Legal - Real Estate,Late Payment,,FALSE
en-us,Legal - Real Estate,Latent Defect,,FALSE
en-us,Legal - Real Estate,Lead,,FALSE
