Term Locale,Term Category,Court ID,Level,Jurisdiction,Court Type,Court Name,Alias
en-US,US State Courts,146,Intermediate appellate court,Colorado,Appellate Court,Colorado Court of Appeals,Colorado Court of Appeals
en-US,US State Courts,147,Court of first instance,Colorado,District Court,1st Judicial District,"1st Judicial District - Gilpin, Jefferson"
en-US,US State Courts,148,Court of first instance,Colorado,District Court,2nd Judicial District,2nd Judicial District - Denver
en-US,US State Courts,149,Court of first instance,Colorado,District Court,3rd Judicial District,"3rd Judicial District - Huerfano, Las Animas"
en-US,US State Courts,150,Court of first instance,Colorado,District Court,4th Judicial District,"4th Judicial District - El Paso, Teller"
en-US,US State Courts,151,Court of first instance,Colorado,District Court,5th Judicial District,"5th Judicial District - Clear Creek, Eagle, Lake, Summit"
en-US,US State Courts,152,Court of first instance,Colorado,District Court,6th Judicial District,"6th Judicial District - Archuleta, La Plata, San Juan"
en-US,US State Courts,153,Court of first instance,Colorado,District Court,7th Judicial District,"7th Judicial District - Delta, Gunnison, Hinsdale, Montrose, Ouray, San Miguel"
en-US,US State Courts,154,Court of first instance,Colorado,District Court,8th Judicial District,"8th Judicial District - Jackson, Larimer"
en-US,US State Courts,155,Court of first instance,Colorado,District Court,9th Judicial District,"9th Judicial District - Garfield, Pitkin, Rio Blanco"
en-US,US State Courts,156,Court of first instance,Colorado,District Court,10th Judicial District,10th Judicial District - Pueblo
en-US,US State Courts,157,Court of first instance,Colorado,District Court,11th Judicial District,"11th Judicial District - Chaffee, Custer, Fremont, Park"
en-US,US State Courts,158,Court of first instance,Colorado,District Court,12th Judicial District,"12th Judicial District - Alamosa, Conejos, Costilla, Mineral, Rio Grande, Saguache"
en-US,US State Courts,159,Court of first instance,Colorado,District Court,13th Judicial District,"13th Judicial District - Kit Carson, Logan, Morgan, Phillips, Sedgwick, Washington, Yuma"
en-US,US State Courts,160,Court of first instance,Colorado,District Court,14th Judicial District,"14th Judicial District - Grand, Moffat, Routt"
en-US,US State Courts,161,Court of first instance,Colorado,District Court,15th Judicial District,"15th Judicial District - Baca, Cheyenne, Kiowa, Prowers"
en-US,US State Courts,162,Court of first instance,Colorado,District Court,16th Judicial District,"16th Judicial District - Bent, Crowley, Otero"
en-US,US State Courts,163,Court of first instance,Colorado,District Court,17th Judicial District,"17th Judicial District - Adams, Broomfield"
en-US,US State Courts,164,Court of first instance,Colorado,District Court,18th Judicial District,"18th Judicial District - Arapahoe, Douglas, Elbert, Lincoln"
en-US,US State Courts,165,Court of first instance,Colorado,District Court,19th Judicial District,19th Judicial District - Weld
en-US,US State Courts,166,Court of first instance,Colorado,District Court,20th Judicial District,20th Judicial District - Boulder
en-US,US State Courts,167,Court of first instance,Colorado,District Court,21st Judicial District,21st Judicial District - Mesa
en-US,US State Courts,168,Court of first instance,Colorado,District Court,22nd Judicial District,"22nd Judicial District - Dolores, Montezuma"
en-US,US State Courts,169,Court of last resort,Colorado,Supreme Court,Colorado Supreme Court,Colorado Supreme Court
en-US,US State Courts,170,Intermediate appellate court,Connecticut,Appellate Court,Connecticut Appellate Court,Connecticut Appellate Court
en-US,US State Courts,171,Court of first instance,Connecticut,Superior Court,Ansonia-Milford Judicial District,
en-US,US State Courts,172,Court of first instance,Connecticut,Superior Court,Danbury Judicial District,
en-US,US State Courts,173,Court of first instance,Connecticut,Superior Court,Fairfield Judicial District,
en-US,US State Courts,174,Court of first instance,Connecticut,Superior Court,Hartford Judicial District,
en-US,US State Courts,175,Court of first instance,Connecticut,Superior Court,Litchfield Judicial District,
en-US,US State Courts,176,Court of first instance,Connecticut,Superior Court,Meriden Judicial District,
en-US,US State Courts,177,Court of first instance,Connecticut,Superior Court,Middlesex Judicial District,
en-US,US State Courts,178,Court of first instance,Connecticut,Superior Court,New Britain Judicial District,
en-US,US State Courts,179,Court of first instance,Connecticut,Superior Court,New Haven Judicial District,
en-US,US State Courts,180,Court of first instance,Connecticut,Superior Court,New London Judicial District,
en-US,US State Courts,181,Court of first instance,Connecticut,Superior Court,Norwich Judicial District,
en-US,US State Courts,182,Court of first instance,Connecticut,Superior Court,Stamford-Norwalk Judicial District,
en-US,US State Courts,183,Court of first instance,Connecticut,Superior Court,Tolland Judicial District,
en-US,US State Courts,184,Court of first instance,Connecticut,Superior Court,Waterbury Judicial District,
en-US,US State Courts,185,Court of first instance,Connecticut,Superior Court,Windham Judicial District,
en-US,US State Courts,186,Court of last resort,Connecticut,Supreme Court,Connecticut Supreme Court,Connecticut Supreme Court
en-US,US State Courts,187,Court of first instance,Delaware,Court of Equity,Delaware Court of Chancery,
en-US,US State Courts,188,Court of first instance,Delaware,Superior Court,Delaware Superior Court,Superior Court; Orphans' Court
en-US,US State Courts,189,Court of last resort,Delaware,Supreme Court,Supreme Court of Delaware,Supreme Court of Delaware
en-US,US State Courts,190,Court of last resort,District of Columbia,Appellate Court,District of Columbia Court of Appeals,
en-US,US State Courts,191,Court of first instance,District of Columbia,Superior Court,Superior Court of the District of Columbia,DC Superior Court
en-US,US State Courts,192,Court of first instance,Florida,Circuit Court,First Circuit,
en-US,US State Courts,193,Court of first instance,Florida,Circuit Court,Second Circuit,
en-US,US State Courts,194,Court of first instance,Florida,Circuit Court,Third Circuit,
en-US,US State Courts,195,Court of first instance,Florida,Circuit Court,Fourth Circuit,
en-US,US State Courts,196,Court of first instance,Florida,Circuit Court,Fifth Circuit,
en-US,US State Courts,197,Court of first instance,Florida,Circuit Court,Sixth Circuit,
en-US,US State Courts,198,Court of first instance,Florida,Circuit Court,Seventh Circuit,
en-US,US State Courts,199,Court of first instance,Florida,Circuit Court,Eighth Circuit,
en-US,US State Courts,200,Court of first instance,Florida,Circuit Court,Ninth Circuit,
en-US,US State Courts,201,Court of first instance,Florida,Circuit Court,Tenth Circuit,
en-US,US State Courts,202,Court of first instance,Florida,Circuit Court,Eleventh Circuit,
en-US,US State Courts,203,Court of first instance,Florida,Circuit Court,Twelfth Circuit,
en-US,US State Courts,204,Court of first instance,Florida,Circuit Court,Thirteenth Circuit,
en-US,US State Courts,205,Court of first instance,Florida,Circuit Court,Fourteenth Circuit,
en-US,US State Courts,206,Court of first instance,Florida,Circuit Court,Fifteenth Circuit,
en-US,US State Courts,207,Court of first instance,Florida,Circuit Court,Sixteenth Circuit,
en-US,US State Courts,208,Court of first instance,Florida,Circuit Court,Seventeenth Circuit,
en-US,US State Courts,209,Court of first instance,Florida,Circuit Court,Eighteenth Circuit,
en-US,US State Courts,210,Court of first instance,Florida,Circuit Court,Nineteenth Circuit,
en-US,US State Courts,211,Court of first instance,Florida,Circuit Court,Twentieth Circuit,
en-US,US State Courts,212,Intermediate appellate court,Florida,Appellate Court,First District Court of Appeal,
en-US,US State Courts,213,Intermediate appellate court,Florida,Appellate Court,Second District Court of Appeal,
en-US,US State Courts,214,Intermediate appellate court,Florida,Appellate Court,Third District Court of Appeal,
en-US,US State Courts,215,Intermediate appellate court,Florida,Appellate Court,Fourth District Court of Appeal,
en-US,US State Courts,216,Intermediate appellate court,Florida,Appellate Court,Fifth District Court of Appeal,
en-US,US State Courts,217,Court of last resort,Florida,Supreme Court,Supreme Court of Florida,Supreme Court of Florida
en-US,US State Courts,218,Intermediate appellate court,Georgia,Appellate Court,Georgia Court of Appeals,
en-US,US State Courts,219,Court of first instance,Georgia,Superior Court,Alapaha Circuit,
,,,Court of first instance,Georgia,Superior Court,Alcovy Circuit,
,,,Court of first instance,Georgia,Superior Court,Appalachian Circuit,
,,,Court of first instance,Georgia,Superior Court,Atlanta Circuit,
,,,Court of first instance,Georgia,Superior Court,Atlantic Circuit,
,,,Court of first instance,Georgia,Superior Court,Augusta Circuit,
,,,Court of first instance,Georgia,Superior Court,Bell-Forsyth Circuit,
,,,Court of first instance,Georgia,Superior Court,Blue Ridge Circuit,
,,,Court of first instance,Georgia,Superior Court,Brunswick Circuit,
,,,Court of first instance,Georgia,Superior Court,Chattahoochee Circuit,
,,,Court of first instance,Georgia,Superior Court,Cherokee Circuit,
,,,Court of first instance,Georgia,Superior Court,Clayton Circuit,
,,,Court of first instance,Georgia,Superior Court,Cobb Circuit,
,,,Court of first instance,Georgia,Superior Court,Conasauga Circuit,
,,,Court of first instance,Georgia,Superior Court,Cordele Circuit,
,,,Court of first instance,Georgia,Superior Court,Coweta Circuit,
,,,Court of first instance,Georgia,Superior Court,Dougherty Circuit,
,,,Court of first instance,Georgia,Superior Court,Douglas Circuit,
,,,Court of first instance,Georgia,Superior Court,Dublin Circuit,
,,,Court of first instance,Georgia,Superior Court,Eastern Circuit,
,,,Court of first instance,Georgia,Superior Court,Enotah Circuit,
,,,Court of first instance,Georgia,Superior Court,Flint Circuit,
,,,Court of first instance,Georgia,Superior Court,Griffin Circuit,
,,,Court of first instance,Georgia,Superior Court,Gwinnnett Circuit,
,,,Court of first instance,Georgia,Superior Court,Houston Circuit,
,,,Court of first instance,Georgia,Superior Court,Lookout Mountain Circuit,
