Term Locale,Term Category,Term,Case Sensitive
en-US,Legal,dividend,False
en-US,Legal,division,False
en-US,Legal,document,False
en-US,Legal,dollar,False
en-US,Legal,domain,False
en-US,Legal,domestic,False
en-US,Legal,downgrade,False
en-US,Legal,draft,False
en-US,Legal,draw,False
en-US,Legal,drug,False
en-US,Legal,due,False
en-US,Legal,due date,False
en-US,Legal,due diligence,False
en-US,Legal,duly authorized,False
en-US,Legal,duly organized,False
en-US,Legal,duplication,False
en-US,Legal,duration,False
en-US,Legal,duty,False
en-US,Legal,early,False
en-US,Legal,earnings,False
en-US,Legal,ebitda,False
en-US,Legal,economic,False
en-US,Legal,effect,False
en-US,Legal,effective date,False
en-US,Legal,effectuate,False
en-US,Legal,effort,False
en-US,Legal,elect,False
en-US,Legal,electronic,False
en-US,Legal,electronic mail,False
en-US,Legal,eligible,False
en-US,Legal,eliminate,False
en-US,Legal,email,False
en-US,Legal,e-mail,False
en-US,Legal,emergency,False
en-US,Legal,employ,False
en-US,Legal,employee,False
en-US,Legal,employee benefit,False
en-US,Legal,employee benefit plan,False
en-US,Legal,encumbrance,False
en-US,Legal,end,False
en-US,Legal,endorsed,False
en-US,Legal,energy,False
en-US,Legal,enforce,False
en-US,Legal,engagement,False
en-US,Legal,engineering,False
en-US,Legal,enhanced,False
en-US,Legal,enter,False
en-US,Legal,enterprise,False
en-US,Legal,entire,False
en-US,Legal,entitle,False
en-US,Legal,entity,False
en-US,Legal,entry,False
en-US,Legal,environment,False
en-US,Legal,environmental,False
en-US,Legal,environmental law,False
en-US,Legal,equal,False
en-US,Legal,equipment,False
en-US,Legal,equitable,False
en-US,Legal,equity,False
en-US,Legal,equity interest,False
en-US,Legal,ero,False
en-US,Legal,error,False
en-US,Legal,escrow,False
en-US,Legal,escrow agent,False
en-US,Legal,established,False
en-US,Legal,estate,False
en-US,Legal,estimate,False
en-US,Legal,estoppel,False
en-US,Legal,ethics,False
en-US,Legal,eurocurrency,False
en-US,Legal,eurodollar,False
en-US,Legal,evaluator,False
en-US,Legal,event,False
en-US,Legal,event default,False
en-US,Legal,evidence,False
en-US,Legal,evidenced,False
en-US,Legal,examination,False
en-US,Legal,exceed,False
en-US,Legal,exception,False
en-US,Legal,excess,False
en-US,Legal,exchange,False
en-US,Legal,excise tax,False
en-US,Legal,exclusive,False
en-US,Legal,execute,False
en-US,Legal,executive officer,False
en-US,Legal,executor,False
en-US,Legal,exemption,False
en-US,Legal,exercise,False
en-US,Legal,exhibit,False
en-US,Legal,existing,False
en-US,Legal,expenditure,False
en-US,Legal,expense,False
en-US,Legal,expenses incurred,False
en-US,Legal,experience,False
en-US,Legal,expert,False
en-US,Legal,expiration date,False
en-US,Legal,expire,False
en-US,Legal,exposure,False
en-US,Legal,express,False
en-US,Legal,extend,False
en-US,Legal,extension,False
en-US,Legal,extension of credit,False
en-US,Legal,external,False
en-US,Legal,extraordinary,False
en-US,Legal,face,False
en-US,Legal,face amount,False
en-US,Legal,facility,False
en-US,Legal,facsimile,False
en-US,Legal,fact,False
en-US,Legal,factor,False
en-US,Legal,fail,False
en-US,Legal,failure,False
en-US,Legal,fair,False
en-US,Legal,fair market,False
en-US,Legal,fair market value,False
en-US,Legal,fair value,False
en-US,Legal,faith,False
en-US,Legal,family,False
en-US,Legal,favorable,False
en-US,Legal,fax,False
en-US,Legal,feature,False
en-US,Legal,federal,False
en-US,Legal,federal fund,False
en-US,Legal,federal reserve,False
en-US,Legal,federal reserve bank,False
en-US,Legal,federal reserve system,False
en-US,Legal,fee,False
en-US,Legal,felony,False
en-US,Legal,fiduciary,False
en-US,Legal,fiduciary duty,False
en-US,Legal,field,False
en-US,Legal,files,False
en-US,Legal,final,False
en-US,Legal,final distribution,False
en-US,Legal,final judgment,False
en-US,Legal,final payment,False
en-US,Legal,finance,False
en-US,Legal,financial,False
en-US,Legal,financial institution,False
en-US,Legal,financial officer,False
en-US,Legal,financial statements,False
en-US,Legal,financing statement,False
en-US,Legal,fines,False
en-US,Legal,finra,False
en-US,Legal,firm,False
en-US,Legal,first refusal,False
en-US,Legal,fiscal,False
en-US,Legal,fiscal year,False
en-US,Legal,fitness,False
en-US,Legal,fixed,False
en-US,Legal,fixed income,False
en-US,Legal,fixture,False
en-US,Legal,floating,False
en-US,Legal,floating rate,False
en-US,Legal,flood,False
en-US,Legal,floor,False
en-US,Legal,food,False
en-US,Legal,for cause,False
en-US,Legal,force,False
en-US,Legal,force majeure,False
en-US,Legal,foreclosed,False
en-US,Legal,foreclosure,False
en-US,Legal,foreign,False
en-US,Legal,foreign assets,False
en-US,Legal,foreign currency,False
en-US,Legal,foreign exchange,False
en-US,Legal,foreign securities,False
en-US,Legal,foreseeable,False
en-US,Legal,forfeiture,False
en-US,Legal,form,False
en-US,Legal,formation,False
en-US,Legal,former,False
en-US,Legal,formula,False
en-US,Legal,foundation,False
en-US,Legal,founder,False
en-US,Legal,fraction,False
en-US,Legal,franchise,False
en-US,Legal,fraud,False
en-US,Legal,fraudulent,False
en-US,Legal,fuel,False
en-US,Legal,fulfillment,False
en-US,Legal,full,False
en-US,Legal,full force,False
en-US,Legal,fullest,False
en-US,Legal,fully,False
en-US,Legal,function,False
en-US,Legal,fund,False
en-US,Legal,fundamental,False
en-US,Legal,funded debt,False
en-US,Legal,furnish,False
en-US,Legal,future,False
en-US,Legal,gaap,False
en-US,Legal,gacc,False
en-US,Legal,gain,False
en-US,Legal,gas,False
en-US,Legal,general,False
en-US,Legal,general counsel,False
en-US,Legal,general partner,False
en-US,Legal,generally accepted accounting principles,False
en-US,Legal,global,False
en-US,Legal,good,False
en-US,Legal,good faith,False
en-US,Legal,good standing,False
en-US,Legal,goodwill,False
en-US,Legal,govern,False
en-US,Legal,governing law,False
en-US,Legal,government agency,False
en-US,Legal,governmental,False
en-US,Legal,governmental agency,False
en-US,Legal,governmental body,False
en-US,Legal,governmental entity,False
en-US,Legal,governor,False
en-US,Legal,grace period,False
en-US,Legal,grant,False
en-US,Legal,grantee,False
en-US,Legal,grantor,False
en-US,Legal,grantor trust,False
en-US,Legal,gross,False
en-US,Legal,gross negligence,False
en-US,Legal,ground,False
en-US,Legal,group,False
en-US,Legal,growth,False
en-US,Legal,guarantee,False
en-US,Legal,guarantor,False
en-US,Legal,guaranty,False
en-US,Legal,guidance,False
en-US,Legal,guidelines,False
en-US,Legal,hard,False
en-US,Legal,hardware,False
en-US,Legal,harm,False
en-US,Legal,harmless,False
en-US,Legal,hazard,False
en-US,Legal,hazardous material,False
en-US,Legal,hazardous substance,False
en-US,Legal,hazardous waste,False
en-US,Legal,heading,False
en-US,Legal,health,False
en-US,Legal,hedge,False
en-US,Legal,heirs,False
en-US,Legal,highest,False
en-US,Legal,highway,False
en-US,Legal,historical,False
en-US,Legal,holder,False
en-US,Legal,holding,False
en-US,Legal,holding company,False
en-US,Legal,holiday,False
en-US,Legal,home,False
en-US,Legal,hotel,False
en-US,Legal,identification,False
en-US,Legal,identify,False
en-US,Legal,identity,False
en-US,Legal,illegal,False
en-US,Legal,immediately,False
en-US,Legal,immunities,False
en-US,Legal,impact,False
en-US,Legal,impair,False
en-US,Legal,implementation,False
en-US,Legal,implied,False
en-US,Legal,import,False
en-US,Legal,imposition,False
en-US,Legal,improvement,False
en-US,Legal,in arrears,False
en-US,Legal,in force,False
en-US,Legal,in writing,False
en-US,Legal,inability,False
en-US,Legal,inaccuracy,False
en-US,Legal,inaction,False
en-US,Legal,incentive,False
en-US,Legal,incident,False
en-US,Legal,incidental,False
en-US,Legal,includes,False
en-US,Legal,income,False
en-US,Legal,income tax,False
en-US,Legal,inconsistent,False
en-US,Legal,inconvenient,False
en-US,Legal,incorporated,False
en-US,Legal,incremental,False
en-US,Legal,incur,False
en-US,Legal,incurrence,False
en-US,Legal,indebtedness,False
en-US,Legal,indemnification,False
en-US,Legal,indemnified party,False
en-US,Legal,indemnify,False
en-US,Legal,indemnitee,False
en-US,Legal,indemnity,False
en-US,Legal,indenture,False
en-US,Legal,independent,False
en-US,Legal,independent contractor,False
en-US,Legal,index,False
en-US,Legal,indication,False
en-US,Legal,indirectly,False
en-US,Legal,individual,False
en-US,Legal,induce,False
en-US,Legal,industry,False
en-US,Legal,information provider,False
en-US,Legal,informed,False
en-US,Legal,infrastructure,False
en-US,Legal,infringement,False
en-US,Legal,injunction,False
en-US,Legal,injury,False
en-US,Legal,inquiry,False
en-US,Legal,insider,False
en-US,Legal,insolvent,False
en-US,Legal,inspection,False
en-US,Legal,inspector,False
en-US,Legal,installment,False
en-US,Legal,instance,False
en-US,Legal,institute,False
en-US,Legal,instruction,False
en-US,Legal,instrument,False
en-US,Legal,insufficient,False
en-US,Legal,insurance company,False
en-US,Legal,insurance policy,False
en-US,Legal,insured,False
en-US,Legal,intangible,False
en-US,Legal,integration,False
en-US,Legal,intellectual,False
en-US,Legal,intellectual property,False
en-US,Legal,intentional,False
en-US,Legal,intercreditor,False
en-US,Legal,interest,False
en-US,Legal,interest expense,False
en-US,Legal,interest payment,False
en-US,Legal,interest payment date,False
en-US,Legal,interest period,False
en-US,Legal,interest rate,False
en-US,Legal,interfere,False
en-US,Legal,interfere with,False
en-US,Legal,interim,False
en-US,Legal,intermediary,False
en-US,Legal,intermediate,False
en-US,Legal,internal,False
en-US,Legal,internal revenue code,False
en-US,Legal,internal revenue service,False
en-US,Legal,internet,False
en-US,Legal,interpreted,False
en-US,Legal,interval,False
en-US,Legal,introduction,False
en-US,Legal,inure,False
en-US,Legal,invalidity,False
en-US,Legal,invention,False
en-US,Legal,inventory,False
en-US,Legal,invest,False
en-US,Legal,investigating,False
en-US,Legal,investment adviser,False
en-US,Legal,investment company,False
en-US,Legal,investment manager,False
en-US,Legal,investor,False
en-US,Legal,invoice,False
en-US,Legal,involuntary,False
en-US,Legal,involved,False
en-US,Legal,irrevocable,False
en-US,Legal,irs,False
en-US,Legal,isin,False
en-US,Legal,issuable,False
en-US,Legal,issuance,False
en-US,Legal,issue,False
en-US,Legal,issued and outstanding,False
en-US,Legal,issuer,False
en-US,Legal,issuing entity,False
en-US,Legal,item,False
en-US,Legal,joinder,False
en-US,Legal,joint,False
en-US,Legal,joint venture,False
en-US,Legal,judgment,False
en-US,Legal,judicial,False
en-US,Legal,junior,False
en-US,Legal,jurisdiction,False
en-US,Legal,jury,False
en-US,Legal,jury trial,False
en-US,Legal,key,False
en-US,Legal,kind,False
en-US,Legal,knowingly,False
en-US,Legal,knowledge,False
en-US,Legal,known,False
en-US,Legal,labor,False
en-US,Legal,laboratory,False
en-US,Legal,land,False
en-US,Legal,landlord,False
en-US,Legal,lapse,False
en-US,Legal,largest,False
en-US,Legal,last,False
en-US,Legal,laundering,False
en-US,Legal,law,False
en-US,Legal,lease,False
en-US,Legal,leasehold,False
en-US,Legal,legal action,False
en-US,Legal,legal counsel,False
en-US,Legal,legal fees,False
en-US,Legal,legal proceeding,False
en-US,Legal,legal process,False
en-US,Legal,legal representative,False
en-US,Legal,legislation,False
en-US,Legal,lender,False
en-US,Legal,lending,False
en-US,Legal,length,False
en-US,Legal,lessee,False
en-US,Legal,lesser,False
en-US,Legal,lessor,False
en-US,Legal,letter,False
en-US,Legal,letter of credit,False
en-US,Legal,leverage,False
en-US,Legal,liability,False
en-US,Legal,liability insurance,False
en-US,Legal,liable,False
en-US,Legal,libor,False
en-US,Legal,license,False
en-US,Legal,license agreement,False
en-US,Legal,licensee,False
en-US,Legal,licensor,False
en-US,Legal,lien,False
en-US,Legal,life,False
en-US,Legal,light,False
en-US,Legal,likely,False
en-US,Legal,limit,False
en-US,Legal,limited liability,False
en-US,Legal,limited liability company,False
en-US,Legal,limited partnership,False
en-US,Legal,line,False
en-US,Legal,line of credit,False
en-US,Legal,liquidity,False
en-US,Legal,list,False
en-US,Legal,litigation,False
en-US,Legal,living,False
en-US,Legal,loan,False
en-US,Legal,loan commitment,False
en-US,Legal,loan documents,False
en-US,Legal,loan seller,False
en-US,Legal,local,False
en-US,Legal,location,False
en-US,Legal,long term,False
en-US,Legal,long-term,False
en-US,Legal,loss,False
en-US,Legal,lost,False
en-US,Legal,lot,False
en-US,Legal,mail,False
en-US,Legal,maintain,False
en-US,Legal,maintenance,False
en-US,Legal,majeure,False
en-US,Legal,majority,False
en-US,Legal,manage,False
en-US,Legal,managing director,False
en-US,Legal,managing member,False
en-US,Legal,mandatory,False
en-US,Legal,manifest,False
en-US,Legal,manifest error,False
en-US,Legal,manual,False
en-US,Legal,manufacture,False
en-US,Legal,map,False
en-US,Legal,margin,False
en-US,Legal,mark,False
en-US,Legal,market,False
en-US,Legal,market value,False
en-US,Legal,master,False
en-US,Legal,master servicer,False
en-US,Legal,material,False
en-US,Legal,material adverse,False
en-US,Legal,material breach,False
en-US,Legal,material change,False
en-US,Legal,material defect,False
en-US,Legal,material fact,False
en-US,Legal,material respect,False
