Term Locale,Term Category,Act Alias Name,Act Alias Year,Act Identity Name,Act Identity Year,Case Sensitive
en-US,Geopolitcal - Acts,Emergency Economic Stabilization,2008,,,FALSE
en-US,Geopolitcal - Acts,Emergency Low Income Preservation,1987,,,FALSE
en-US,Geopolitcal - Acts,Emergency Planning And Community Right To Know,1986,,,FALSE
en-US,Geopolitcal - Acts,Emergency Wartime Supplemental Appropriations,2003,,,FALSE
en-US,Geopolitcal - Acts,Employee Retirement Income,1974,Employee Retirement Income Security,1974,FALSE
en-US,Geopolitcal - Acts,Employee Retirement Income Security,1974,,,FALSE
en-US,Geopolitcal - Acts,Employee Retirement Security,1974,Employee Retirement Income Security,1974,FALSE
en-US,Geopolitcal - Acts,Employment Retirement Income Security,1974,Employee Retirement Income Security,1974,FALSE
en-US,Geopolitcal - Acts,Endangered Species,1973,,,FALSE
en-US,Geopolitcal - Acts,Enemy,1917,Trading with the Enemy,1917,FALSE
en-US,Geopolitcal - Acts,Energy,1992,Energy Policy,1992,FALSE
en-US,Geopolitcal - Acts,Energy,2005,Energy Policy,2005,FALSE
en-US,Geopolitcal - Acts,Energy Improvement And Extension,2008,,,FALSE
en-US,Geopolitcal - Acts,Energy Independence And Security,2007,,,FALSE
en-US,Geopolitcal - Acts,Energy Policies,1992,Energy Policy,1992,FALSE
en-US,Geopolitcal - Acts,Energy Policy,1992,,,FALSE
en-US,Geopolitcal - Acts,Energy Policy,2005,,,FALSE
en-US,Geopolitcal - Acts,Energy Reorganization,1974,,,FALSE
en-US,Geopolitcal - Acts,Energy Tax Incentives,2005,,,FALSE
en-US,Geopolitcal - Acts,Environment Protection,1970,,,FALSE
en-US,Geopolitcal - Acts,Equal Credit Opportunity,1974,,,FALSE
en-US,Geopolitcal - Acts,Equal Pay,1963,,,FALSE
en-US,Geopolitcal - Acts,Esa,1973,Endangered Species,1973,FALSE
en-US,Geopolitcal - Acts,Exchange,1934,Securities Exchange,1934,FALSE
en-US,Geopolitcal - Acts,Expedited Funds Availability,1987,,,FALSE
en-US,Geopolitcal - Acts,Export Administration,1979,,,FALSE
en-US,Geopolitcal - Acts,F d c,1938,"Federal Food, Drug, And Cosmetic",1938,FALSE
en-US,Geopolitcal - Acts,Fair And Accurate Credit Transactions,2003,,,FALSE
en-US,Geopolitcal - Acts,Fair Credit Reporting,1970,,,FALSE
en-US,Geopolitcal - Acts,Fair Credit Reporting,1978,Fair Credit Reporting,1970,FALSE
en-US,Geopolitcal - Acts,Fair Debt Collection Practices,1977,,,FALSE
en-US,Geopolitcal - Acts,Fair Housing,1968,Civil Rights,1968,FALSE
en-US,Geopolitcal - Acts,Fair Housing Amendments,1988,,,FALSE
en-US,Geopolitcal - Acts,Fair Labor Standards,1938,,,FALSE
en-US,Geopolitcal - Acts,Fair Packaging And Labelling,1967,,,FALSE
en-US,Geopolitcal - Acts,Fairness In Asbestos Injury Resolution,2005,,,FALSE
en-US,Geopolitcal - Acts,False Claims,1863,,,FALSE
en-US,Geopolitcal - Acts,Family And Medical Leave,1993,,,FALSE
en-US,Geopolitcal - Acts,Family Medical Leave,1993,Family And Medical Leave,1993,FALSE
en-US,Geopolitcal - Acts,Farm,1985,Food Security,1985,FALSE
en-US,Geopolitcal - Acts,Farm Credit,1971,,,FALSE
en-US,Geopolitcal - Acts,Farm Credit System Reform,1996,,,FALSE
en-US,Geopolitcal - Acts,Farm Security And Rural Investment,2002,,,FALSE
en-US,Geopolitcal - Acts,Fatca,2010,Foreign Account Tax Compliance,2010,FALSE
en-US,Geopolitcal - Acts,Fd c,1938,"Federal Food, Drug, And Cosmetic",1938,FALSE
en-US,Geopolitcal - Acts,Fda Modernization,1997,Food And Drug Administration Modernization,1997,FALSE
en-US,Geopolitcal - Acts,Fdc,1938,"Federal Food, Drug, And Cosmetic",1938,FALSE
en-US,Geopolitcal - Acts,Fdic Improvement,1991,,,FALSE
en-US,Geopolitcal - Acts,Federal Age Discrimination In Employment,1967,Age Discrimination In Employment,1967,FALSE
en-US,Geopolitcal - Acts,Federal Alternative Mortgage Transactions Parity,1982,Garn St . Germain Depository Institutions,1982,FALSE
en-US,Geopolitcal - Acts,Federal Americans With Disabilities,1990,Americans With Disabilities,1990,FALSE
