Term Locale,Term Category,Term,CaseSensitive
en-us,Chemical,sulfate of iron,FALSE
en-us,Chemical,copperas,FALSE
en-us,Chemical,kerosene,FALSE
en-us,Chemical,aviation fuel,FALSE
en-us,Chemical,lactic acid,FALSE
en-us,Chemical,milk acid,FALSE
en-us,Chemical,latex,FALSE
en-us,Chemical,liquid latex,FALSE
en-us,Chemical,lead,FALSE
en-us,Chemical,linseed oil,FALSE
en-us,Element,lithium,FALSE
en-us,Element,magnesium,FALSE
en-us,Chemical,magnesium carbonate,FALSE
en-us,Chemical,athlete's chalk,FALSE
en-us,Chemical,magnesium hydroxide,FALSE
en-us,Chemical,milk of magnesia,FALSE
en-us,Chemical,magnesium silicate,FALSE
en-us,Chemical,talc,FALSE
en-us,Chemical,magnesium sulfate,FALSE
en-us,Chemical,epsom salt,FALSE
en-us,Chemical,magnesium chloride,FALSE
en-us,Chemical,nigari,FALSE
en-us,Chemical,lushui,FALSE
en-us,Chemical,manganese dioxide,FALSE
en-us,Chemical,pyrolusite,FALSE
en-us,Element,quicksilver,FALSE
en-us,Chemical,methane,FALSE
en-us,Chemical,natural gas,FALSE
en-us,Chemical,methanol,FALSE
en-us,Chemical,methyl alcohol,FALSE
en-us,Chemical,methyl ethyl ketone peroxide,FALSE
en-us,Chemical,methyl ethyl ketone,FALSE
en-us,Chemical,methyl isobutyle ketone,FALSE
en-us,Chemical,methylene blue,FALSE
en-us,Chemical,methylene chloride,FALSE
en-us,Chemical,methyl salicylate,FALSE
en-us,Chemical,mineral oil,FALSE
en-us,Chemical,monosodium glutamate,FALSE
en-us,Chemical,naphthalene,FALSE
en-us,Chemical,moth balls,FALSE
en-us,Chemical,MSG,TRUE
en-us,Chemical,oil of wintergreen,FALSE
en-us,Chemical,dichloromethane,FALSE
en-us,Chemical,methidote,FALSE
en-us,Chemical,liquid nitrogen,FALSE
en-us,Chemical,nitrous oxide,FALSE
en-us,Chemical,whipping gas,FALSE
en-us,Chemical,laughing gas,FALSE
en-us,Chemical,oxalic acid,FALSE
en-us,Chemical,para-dichlorobenzene,FALSE
en-us,Chemical,moth flakes,FALSE
en-us,Chemical,paraffin,FALSE
en-us,Chemical,phenol,FALSE
en-us,Chemical,phenolphthalein,FALSE
en-us,Chemical,phenol red,FALSE
en-us,Chemical,phenolsulfonephthalein,FALSE
en-us,Chemical,phosphoric acid,FALSE
en-us,Chemical,polystyrene,FALSE
en-us,Chemical,casting resin,FALSE
en-us,Chemical,polyurethane foam,FALSE
en-us,Chemical,mountains in minutes,FALSE
