Term Locale,Term Category,Term,CaseSensitive,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,National Cyber Security Centre,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,National security and intelligence,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Office for Disability Issues,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Office for Life Sciences,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Office for Low Emission Vehicles,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Office of Financial Sanctions Implementation,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Office of the Parliamentary Counsel,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Open Public Services,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Operational Delivery Profession,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Policy Profession,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Preventing Sexual Violence Initiative,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Procurement profession,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Project Delivery Profession,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Queen's Harbour Master,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Regulatory Delivery,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Rural Development Programme for England Network,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Schools Commissioners Group,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,UK Visas and Immigration,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,UKTI Education,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,UKTI Life Sciences Organisation,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Veterans UK,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Architects Registration Board,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,BBC,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,BBC World Service,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Channel 4,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Civil Aviation Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Historic Royal Palaces,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,London and Continental Railways Ltd,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,London and Continental Railways Limited,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Office for Nuclear Regulation,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Oil and Pipelines Agency,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Pension Protection Fund,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Northern Ireland Executive,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Scottish Government,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Welsh Government,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
