Term Locale,Term Category,Term,CaseSensitive,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Committee on Radioactive Waste Management,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Committee on Standards in Public Life,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Committee on Toxicity of Chemicals in Food, Consumer Products, & the Environment",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Department for Digital, Culture, Media & Sport",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Department for Digital, Culture, Media, & Sport",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Department for Digital, Culture, Media and Sport",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Commonwealth Scholarship Commission in the UK,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Companies House,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Department for Environment, Food & Rural Affairs",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Department for Environment, Food, & Rural Affairs",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Department for Environment, Food, and Rural Affairs",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Company Names Tribunal,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Competition Appeal Tribunal,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Competition Service,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Construction Industry Training Board,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Consumer Council for Water,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Copyright Tribunal,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Council for Science and Technology,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Covent Garden Market Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Criminal Cases Review Commission,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Criminal Injuries Compensation Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Criminal Procedure Rule Committee,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Crown Commercial Service,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Crown Estate,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Dartmoor National Park Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Defence Academy of the United Kingdom,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Defence Electronics and Components Agency,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Defence Nuclear Safety Committee,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Defence Science and Technology Laboratory,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Defence Sixth Form College,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Defence and Security Media Advisory Committee,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Department for Communities (Northern Ireland),FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,DVS,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Department for Infrastructure (Northern Ireland),FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Department for the Economy (Northern Ireland),FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Department of Agriculture, Environment and Rural Affairs (Northern Ireland)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Department of Culture, Arts and Leisure Northern Ireland",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Department of Education (Northern Ireland),FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Department of Finance (Northern Ireland),FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Department of Health (Northern Ireland),FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Department of Justice (Northern Ireland),FALSE,,,,,,,,,,,,,,,,,,,,,,,,
