Term Locale,Term Type,Term,CaseSensitive
en-US,Colorado Agencies,Colorado Department of Agriculture,FALSE
en-US,Colorado Agencies,Colorado Department of Education,FALSE
en-US,Colorado Agencies,Colorado Department of Higher Education,FALSE
en-US,Colorado Agencies,Colorado Department of Human Services,FALSE
en-US,Colorado Agencies,Colorado Department of Military and Veterans Affairs,FALSE
en-US,Colorado Agencies,Colorado Department of Natural Resources,FALSE
en-US,Colorado Agencies,Colorado Department of Revenue,FALSE
en-US,Colorado Agencies,Colorado Department of Transportation,FALSE
en-US,Colorado Agencies,Colorado Division of Aeronautics,FALSE
en-US,Colorado Agencies,Colorado Division of Forestry,FALSE
en-US,Colorado Agencies,Colorado Division of Insurance,FALSE
en-US,Colorado Agencies,Colorado Lottery,FALSE
en-US,Colorado Agencies,Colorado National Guard,FALSE
en-US,Colorado Agencies,Colorado Parks and Wildlife,FALSE
en-US,Colorado Agencies,Colorado River Water Conservation District,FALSE
en-US,Colorado Agencies,Colorado State Board of Education,FALSE
en-US,Colorado Agencies,Colorado State Public Defender,FALSE
en-US,Colorado Agencies,Colorado Water Conservation Board,FALSE
en-US,Colorado Agencies,Colorado Water Quality Control Division,FALSE
en-US,Colorado Agencies,Colorado Division of Youth Corrections,FALSE
en-US,Colorado Agencies,Colorado Department of Health Care Policy and Financing,FALSE
en-US,Colorado Agencies,Colorado Department of Labor and Employment,FALSE
en-US,Colorado Agencies,Colorado Department of Local Affairs,FALSE
en-US,Colorado Agencies,Colorado Department of Personnel and Administration,FALSE
en-US,Colorado Agencies,Colorado Department of Public Health and Environment,FALSE
en-US,Colorado Agencies,Colorado Department of Public Safety,FALSE
en-US,Colorado Agencies,Colorado Public Utilities Commission,FALSE
en-US,Colorado Agencies,Regents of the University of Colorado,FALSE
en-US,Colorado Agencies,Colorado Department of Regulatory Agencies,FALSE
en-US,Colorado Agencies,Scientific and Cultural Facilities District,FALSE
en-US,Colorado Agencies,Task Force on the Implementation of Amendment 64,FALSE
en-US,Connecticut Agencies,Connecticut Department of Children and Families,FALSE
en-US,Connecticut Agencies,Connecticut Department of Developmental Services,FALSE
en-US,Connecticut Agencies,Connecticut Department of Emergency Management and Homeland Security,FALSE
en-US,Connecticut Agencies,Connecticut Department of Energy and Environmental Protection,FALSE
en-US,Connecticut Agencies,Connecticut Department of Motor Vehicles,FALSE
en-US,Connecticut Agencies,Connecticut Department of Transportation,FALSE
en-US,Connecticut Agencies,Connecticut Distance Learning Consortium,FALSE
en-US,Connecticut Agencies,Connecticut Liquor Division,FALSE
en-US,Connecticut Agencies,Connecticut Lottery,FALSE
en-US,Connecticut Agencies,Connecticut Military Department,FALSE
en-US,Connecticut Agencies,Connecticut Siting Council,FALSE
en-US,Connecticut Agencies,Connecticut State Capitol Police,FALSE
en-US,Connecticut Agencies,Connecticut State Library,FALSE
en-US,Connecticut Agencies,Connecticut State Department of Education,FALSE
en-US,Delaware Agencies,Delaware Department of Education,FALSE
en-US,Delaware Agencies,"Delaware Department of Services for Children, Youth, and Their Families",FALSE
en-US,Delaware Agencies,Delaware Department of Transportation,FALSE
en-US,Delaware Agencies,Delaware Geological Survey,FALSE
en-US,Delaware Agencies,Delaware Lottery,FALSE
en-US,Delaware Agencies,Delaware Public Service Commission,FALSE
en-US,Delaware Agencies,Delaware State Parks,FALSE
en-US,Delaware Agencies,Delaware Department of Natural Resources and Environmental Control,FALSE
en-US,Delaware Agencies,Delaware State Police,FALSE
en-US,Florida Agencies,Florida Department of Juvenile Justice,FALSE
en-US,Florida Agencies,Florida Department of Financial Services,FALSE
en-US,Florida Agencies,Florida College System,FALSE
en-US,Florida Agencies,Florida Department of Agriculture and Consumer Services,FALSE
en-US,Florida Agencies,Florida Department of Air and Water Pollution Control,FALSE
en-US,Florida Agencies,Florida Department of Business and Professional Regulation,FALSE
en-US,Florida Agencies,Florida Department of Children and Families,FALSE
en-US,Florida Agencies,Florida Department of Citrus,FALSE
en-US,Florida Agencies,Florida Department of Education,FALSE
en-US,Florida Agencies,Florida Department of Environmental Protection,FALSE
en-US,Florida Agencies,Florida Department of Environmental Regulation,FALSE
en-US,Florida Agencies,Florida Department of Health,FALSE
en-US,Florida Agencies,Florida Department of Highway Safety and Motor Vehicles,FALSE
en-US,Florida Agencies,Florida Department of Law Enforcement,FALSE
