Term Locale,Term Category,Court ID,Level,Jurisdiction,Court Type,Court Name,Alias
en-US,Geopolitical - Courts,100,Federal,Virgin Islands,Federal District Court,District of the Virgin Islands,D.V.I.
en-US,Geopolitical - Courts,101,Federal,Washington,Federal District Court,Eastern District of Washington,E.D. Wash.
en-US,Geopolitical - Courts,102,Federal,Washington,Federal District Court,Western District of Washington,W.D. Wash.
en-US,Geopolitical - Courts,103,Federal,West Virginia,Federal District Court,Northern District of West Virginia,N.D.W. Va.
en-US,Geopolitical - Courts,104,Federal,West Virginia,Federal District Court,Southern District of West Virginia,S.D.W. Va.
en-US,Geopolitical - Courts,105,Federal,Wisconsin,Federal District Court,Eastern District of Wisconsin,E.D. Wis.
en-US,Geopolitical - Courts,106,Federal,Wisconsin,Federal District Court,Western District of Wisconsin,W.D. Wis.
en-US,Geopolitical - Courts,107,Federal,Wyoming,Federal District Court,District of Wyoming,D. Wyo.
en-US,Geopolitical - Courts,108,Federal,Alabama,Bankruptcy Court,Middle District of Alabama,Bankr. M.D. Ala.
en-US,Geopolitical - Courts,109,Federal,Alabama,Bankruptcy Court,Northern District of Alabama,Bankr. N.D. Ala.
en-US,Geopolitical - Courts,110,Federal,Alabama,Bankruptcy Court,Southern District of Alabama,Bankr. S.D. Ala.
en-US,Geopolitical - Courts,111,Federal,Alaska,Bankruptcy Court,District of Alaska,Bankr. D. Alaska
en-US,Geopolitical - Courts,112,Federal,Arizona,Bankruptcy Court,District of Arizona,Bankr. D. Ariz.
en-US,Geopolitical - Courts,113,Federal,Arkansas,Bankruptcy Court,Eastern & Western Districts of Arkansas,Bankr. E.D. Ark.
en-US,Geopolitical - Courts,114,Federal,California,Bankruptcy Court,Central District of California,Bankr. C.D. Cal.
en-US,Geopolitical - Courts,115,Federal,California,Bankruptcy Court,Eastern District of California,Bankr. E.D. Cal.
en-US,Geopolitical - Courts,116,Federal,California,Bankruptcy Court,Northern District of California,Bankr. N.D. Cal.
en-US,Geopolitical - Courts,117,Federal,California,Bankruptcy Court,Southern District of California,Bankr. S.D. Cal.
