Court ID,Court Type,Court Name,Court Abbreviation
175,Bankruptcy Court,District of Puerto Rico,
176,Bankruptcy Court,District of Rhode Island,
177,Bankruptcy Court,District of South Carolina,
178,Bankruptcy Court,District of South Dakota,
179,Bankruptcy Court,Eastern District of Tennessee,
180,Bankruptcy Court,Middle District of Tennessee,
181,Bankruptcy Court,Western District of Tennessee,
182,Bankruptcy Court,Eastern District of Texas,
183,Bankruptcy Court,Northern District of Texas,
184,Bankruptcy Court,Southern District of Texas,
185,Bankruptcy Court,Western District of Texas,
186,Bankruptcy Court,District of Utah,
187,Bankruptcy Court,District of Vermont,
188,Bankruptcy Court,Eastern District of Virginia,
189,Bankruptcy Court,Western District of Virginia,
190,Bankruptcy Court,Eastern District of Washington,
191,Bankruptcy Court,Western District of Washington,
192,Bankruptcy Court,Northern District of West Virginia,
193,Bankruptcy Court,Southern District of West Virginia,
194,Bankruptcy Court,Eastern District of Wisconsin,
195,Bankruptcy Court,Western District of Wisconsin,
196,Bankruptcy Court,District of Wyoming,
108,Federal Court,United States Tax Court,
109,Federal Court,Patent Trial and Appeal Board,PTAB
110,Federal Court,United States Court of International Trade,
111,Federal Court,United States Court of Federal Claims,
112,Federal Court,Unnited States Foreign Intelligence Surveillance Court,
113,Federal Court,Trademark Trial and Appeal Board,TTAB
114,Federal Court,United States Merit Systems Protection Board,
115,Federal Court,United States Alien Terrorist Removal Court,
116,Federal Court,International Trade Commission,
117,Federal Court,United States Court of Appeals for the Federal Circuit,
118,Federal Court,United States Court of Appeals for the Armed Forces,
119,Federal Court,United States Army Court of Criminal Appeals,
120,Federal Court,Navy-Marine Corps Court of Criminal Appeals,
121,Federal Court,Air Force Court of Criminal Appeals,
122,Federal Court,Coast Guard Court of Criminal Appeals,
123,Federal Court,United States Court of Appeals for Veterans Claims,
124,Federal Court,United States Foreign Intelligence Surveillance Court of Review,
125,Federal Court,United States Court of Military Commission Review,
126,Federal Court,Civilian Board of Contract Appealss,
127,Federal Court,Armed Services Board of Contract Appeals,
128,Federal Court,Postal Service Board of Contract Appeals,
129,Federal Court,Office of Dispute Resolution for Acquisition,
130,Federal Court,Board of Immigration Appeals,
131,Federal Court,Board of Veterans' Appeals,
