Court ID,Level,Court Type (en-US),Court Type (de-DE),Court Name,,,,,,,,,,,,,,,,,,,,,,,
99,Regional,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Koblenz,,,,,,,,,,,,,,,,,,,,,,,
100,Regional,Higher Regional Court,Obere Landesgerichte,Saarländisches Oberlandesgericht,,,,,,,,,,,,,,,,,,,,,,,
101,Regional,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Dresden,,,,,,,,,,,,,,,,,,,,,,,
102,Regional,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Naumburg,,,,,,,,,,,,,,,,,,,,,,,
103,Regional,Higher Regional Court,Obere Landesgerichte,Schleswig-Holsteinisches Oberlandesgericht,,,,,,,,,,,,,,,,,,,,,,,
104,Regional,Higher Regional Court,Obere Landesgerichte,Thüringer Oberlandesgericht,,,,,,,,,,,,,,,,,,,,,,,
105,Federal,Federal Labor Court,Bundesarbeitsgericht,Bundesarbeitsgericht,,,,,,,,,,,,,,,,,,,,,,,
106,Regional,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Baden-Württemberg,,,,,,,,,,,,,,,,,,,,,,,
107,Regional,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht München,,,,,,,,,,,,,,,,,,,,,,,
108,Regional,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Nürnberg,,,,,,,,,,,,,,,,,,,,,,,
109,Regional,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Berlin-Brandenburg,,,,,,,,,,,,,,,,,,,,,,,
110,Regional,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Bremen,,,,,,,,,,,,,,,,,,,,,,,
111,Regional,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Hamburg,,,,,,,,,,,,,,,,,,,,,,,
112,Regional,State Labor Court,Landesarbeitsgericht,Hessisches Landesarbeitsgericht,,,,,,,,,,,,,,,,,,,,,,,
113,Regional,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Mecklenburg-Vorpommern,,,,,,,,,,,,,,,,,,,,,,,
114,Regional,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Niedersachsen,,,,,,,,,,,,,,,,,,,,,,,
115,Regional,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Düsseldorf,,,,,,,,,,,,,,,,,,,,,,,
116,Regional,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Hamm,,,,,,,,,,,,,,,,,,,,,,,
117,Regional,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Köln,,,,,,,,,,,,,,,,,,,,,,,
118,Regional,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Rheinland-Pfalz,,,,,,,,,,,,,,,,,,,,,,,
119,Regional,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Saarland,,,,,,,,,,,,,,,,,,,,,,,
120,Regional,State Labor Court,Landesarbeitsgericht,Sächsisches Landesarbeitsgericht,,,,,,,,,,,,,,,,,,,,,,,
121,Regional,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Sachsen-Anhalt,,,,,,,,,,,,,,,,,,,,,,,
122,Regional,State Labor Court,Landesarbeitsgericht,Landesarbeitsgericht Schleswig-Holstein,,,,,,,,,,,,,,,,,,,,,,,
123,Regional,State Labor Court,Landesarbeitsgericht,Thüringer Landesarbeitsgericht,,,,,,,,,,,,,,,,,,,,,,,
124,Supreme Court,Supreme Tax Court,Bundesfinanzhof,Bundesfinanzhof,,,,,,,,,,,,,,,,,,,,,,,
