Term Category (en-US),Court ID,Level (en-US),Jurisdiction,Court Type (en-US),Court Type (de-DE),Court Name (de-DE),Alias (de-DE)
Geopolitical - Courts,141,Regional,Schleswig-Holstein,Tax Court,Finanzgericht,Schleswig-Holsteinisches Finanzgericht,
Geopolitical - Courts,142,Regional,Thüringen,Tax Court,Finanzgericht,Thüringer Finanzgericht,
Geopolitical - Courts,143,Supreme Court,Federal,Supreme Social Court ,Bundessozialgericht,Bundessozialgericht,
Geopolitical - Courts,144,Regional,Baden-Württemberg,Social Court,Landessozialgericht,Landessozialgericht Baden-Württemberg,
Geopolitical - Courts,145,Regional,Bayern,Social Court,Landessozialgericht,Bayerisches Landessozialgericht,
Geopolitical - Courts,146,Regional,Berlin-Brandenburg,Social Court,Landessozialgericht,Landessozialgericht Berlin-Brandenburg,
Geopolitical - Courts,147,Regional,Niedersachsen-Bremen,Social Court,Landessozialgericht,Landessozialgericht Niedersachsen-Bremen,
Geopolitical - Courts,148,Regional,Hamburg,Social Court,Landessozialgericht,Landessozialgericht Hamburg,
Geopolitical - Courts,149,Regional,Hessen,Social Court,Landessozialgericht,Hessisches Landessozialgericht,
Geopolitical - Courts,150,Regional,Mecklenburg-Vorpommern,Social Court,Landessozialgericht,Landessozialgericht Mecklenburg-Vorpommern,
Geopolitical - Courts,151,Regional,Nordrhein-Westfalen,Social Court,Landessozialgericht,Landessozialgericht Nordrhein-Westfalen,
Geopolitical - Courts,152,Regional,Rheinland-Pfalz,Social Court,Landessozialgericht,Landessozialgericht Rheinland-Pfalz,
Geopolitical - Courts,153,Regional,Saarland,Social Court,Landessozialgericht,Landessozialgericht für das Saarland,
Geopolitical - Courts,154,Regional,Sächsisches,Social Court,Landessozialgericht,Sächsisches Landessozialgericht,
Geopolitical - Courts,155,Regional,Sachsen-Anhalt,Social Court,Landessozialgericht,Landessozialgericht Sachsen-Anhalt,
Geopolitical - Courts,156,Regional,Schleswig-Holstein,Social Court,Landessozialgericht,Schleswig-Holsteinisches Landessozialgericht,
Geopolitical - Courts,157,Regional,Thüringen,Social Court,Landessozialgericht,Thüringer Landessozialgericht,
