Term Locale,Term Type,Term,Alias,CaseSensitive
en-US,Geopolitical - Agencies,Defense Contract Management Agency,,FALSE
en-US,Geopolitical - Agencies,Defense Department,DOD,FALSE
en-US,Geopolitical - Agencies,Defense Finance and Accounting Service,DFAS,FALSE
en-US,Geopolitical - Agencies,Defense Finance and Accounting Service Out-of-Service Debt Mgmt. Center,,FALSE
en-US,Geopolitical - Agencies,Defense Health Agency,,FALSE
en-US,Geopolitical - Agencies,Defense Information Systems Agency,DISA,FALSE
en-US,Geopolitical - Agencies,Defense Intelligence Agency,DIA,FALSE
en-US,Geopolitical - Agencies,Defense Logistics Agency,DLA,FALSE
en-US,Geopolitical - Agencies,Defense Nuclear Facilities Safety Board,,FALSE
en-US,Geopolitical - Agencies,Defense Security Cooperation Agency,DSCA,FALSE
en-US,Geopolitical - Agencies,Defense Security Service,,FALSE
en-US,Geopolitical - Agencies,Defense Technical Information Center,DTIC,FALSE
en-US,Geopolitical - Agencies,Defense Threat Reduction Agency,DTRA,FALSE
en-US,Geopolitical - Agencies,Delaware River Basin Commission,,FALSE
en-US,Geopolitical - Agencies,Denali Commission,,FALSE
en-US,Geopolitical - Agencies,Department of Agriculture,USDA,FALSE
en-US,Geopolitical - Agencies,Department of Commerce,DOC,FALSE
en-US,Geopolitical - Agencies,Department of Defense,DOD,FALSE
en-US,Geopolitical - Agencies,Department of Education,ED,FALSE
en-US,Geopolitical - Agencies,Department of Energy,DOE,FALSE
en-US,Geopolitical - Agencies,Department of Health and Human Services,HHS,FALSE
en-US,Geopolitical - Agencies,Department of Homeland Security,DHS,FALSE
en-US,Geopolitical - Agencies,Department of Justice,DOJ,FALSE
en-US,Geopolitical - Agencies,Department of Labor,DOL,FALSE
en-US,Geopolitical - Agencies,Department of State,DOS,FALSE
en-US,Geopolitical - Agencies,Department of Transportation,DOT,FALSE
en-US,Geopolitical - Agencies,Department of Veterans Affairs,VA,FALSE
en-US,Geopolitical - Agencies,Department of the Interior,DOI,FALSE
en-US,Geopolitical - Agencies,Department of the Treasury,,FALSE
en-US,Geopolitical - Agencies,Office of Director of National Intelligence,,FALSE
en-US,Geopolitical - Agencies,Office of Disability Employment Policy,ODEP,FALSE
en-US,Geopolitical - Agencies,District of Columbia,,FALSE
en-US,Geopolitical - Agencies,Domestic Policy Council,,FALSE
en-US,Geopolitical - Agencies,Drug Enforcement Administration,DEA,FALSE
en-US,Geopolitical - Agencies,Dwight D. Eisenhower School for National Security and Resource Strategy,,FALSE
en-US,Geopolitical - Agencies,Economic Adjustment Office,,FALSE
en-US,Geopolitical - Agencies,Bureau of Economic Analysis,BEA,FALSE
en-US,Geopolitical - Agencies,Economic Development Administration,EDA,FALSE
en-US,Geopolitical - Agencies,"Economic Growth, Energy, and the Environment",,FALSE
en-US,Geopolitical - Agencies,Economic Research Service,,FALSE
en-US,Geopolitical - Agencies,Economics and Statistics Administration,,FALSE
en-US,Geopolitical - Agencies,Education Department,ED,FALSE
en-US,Geopolitical - Agencies,Education Resources Information Center,ERIC,FALSE
en-US,Geopolitical - Agencies,Elder Justice Initiative,,FALSE
en-US,Geopolitical - Agencies,Election Assistance Commission,EAC,FALSE
en-US,Geopolitical - Agencies,Office of Elementary and Secondary Education,,FALSE
en-US,Geopolitical - Agencies,Employee Benefits Security Administration,EBSA,FALSE
en-US,Geopolitical - Agencies,Employment and Training Administration,,FALSE
en-US,Geopolitical - Agencies,Endangered Species Program,,FALSE
en-US,Geopolitical - Agencies,Energy Department,DOE,FALSE
en-US,Geopolitical - Agencies,Energy Information Administration,,FALSE
en-US,Geopolitical - Agencies,English Language Acquisition Office,,FALSE
en-US,Geopolitical - Agencies,Bureau of Engraving and Printing,BEP,FALSE
en-US,Geopolitical - Agencies,Environmental Management,,FALSE
en-US,Geopolitical - Agencies,Environmental Protection Agency,EPA,FALSE
en-US,Geopolitical - Agencies,Equal Employment Opportunity Commission,EEOC,FALSE
en-US,Geopolitical - Agencies,European Command,,FALSE
en-US,Geopolitical - Agencies,Executive Office for Immigration Review,,FALSE
en-US,Geopolitical - Agencies,Fair Housing and Equal Opportunity,,FALSE
en-US,Geopolitical - Agencies,Fannie Mae,,FALSE
en-US,Geopolitical - Agencies,Farm Credit Administration,,FALSE
en-US,Geopolitical - Agencies,Farm Credit System Insurance Corporation,,FALSE
en-US,Geopolitical - Agencies,Farm Service Agency,,FALSE
en-US,Geopolitical - Agencies,FedStats,,FALSE
en-US,Geopolitical - Agencies,Federal Accounting Standards Advisory Board,,FALSE
en-US,Geopolitical - Agencies,Federal Aviation Administration,FAA,FALSE
en-US,Geopolitical - Agencies,Federal Bureau of Investigation,FBI,FALSE
en-US,Geopolitical - Agencies,Federal Bureau of Prisons,BOP,FALSE
en-US,Geopolitical - Agencies,Federal Citizen Information Center,,FALSE
en-US,Geopolitical - Agencies,Federal Communications Commission,FCC,FALSE
en-US,Geopolitical - Agencies,Federal Consulting Group,,FALSE
en-US,Geopolitical - Agencies,Federal Deposit Insurance Corporation,FDIC,FALSE
en-US,Geopolitical - Agencies,Federal Election Commission,,FALSE
en-US,Geopolitical - Agencies,Federal Emergency Management Agency,FEMA,FALSE
en-US,Geopolitical - Agencies,Federal Energy Regulatory Commission,,FALSE
en-US,Geopolitical - Agencies,Federal Executive Boards,,FALSE
en-US,Geopolitical - Agencies,Federal Financial Institutions Examination Council,,FALSE
en-US,Geopolitical - Agencies,Federal Financing Bank,,FALSE
en-US,Geopolitical - Agencies,Federal Geographic Data Committee,,FALSE
en-US,Geopolitical - Agencies,Federal Highway Administration,FHA,FALSE
en-US,Geopolitical - Agencies,Federal Home Loan Mortgage Corporation,Freddie Mac,FALSE
en-US,Geopolitical - Agencies,Federal Housing Administration,FHA,FALSE
en-US,Geopolitical - Agencies,Federal Housing Finance Agency,,FALSE
en-US,Geopolitical - Agencies,Federal Interagency Committee on Education,,FALSE
en-US,Geopolitical - Agencies,Federal Interagency Council on Statistical Policy,,FALSE
en-US,Geopolitical - Agencies,Federal Judicial Center,,FALSE
en-US,Geopolitical - Agencies,Federal Labor Relations Authority,FLRA,FALSE
en-US,Geopolitical - Agencies,Federal Laboratory Consortium for Technology Transfer,,FALSE
en-US,Geopolitical - Agencies,Federal Law Enforcement Training Center,FLETC,FALSE
en-US,Geopolitical - Agencies,Federal Library and Information Center Committee,,FALSE
en-US,Geopolitical - Agencies,Federal Maritime Commission,,FALSE
en-US,Geopolitical - Agencies,Federal Mediation and Conciliation Service,,FALSE
en-US,Geopolitical - Agencies,Federal Mine Safety and Health Review Commission,,FALSE
en-US,Geopolitical - Agencies,Federal Motor Carrier Safety Administration,FMCSA,FALSE
