Term Locale,Term Category,Subcategory,Term,Alias,CaseSensitive
en-US,Geopolitical - Agencies,Florida Agencies,Florida Department of Highway Safety and Motor Vehicles,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Florida Department of Law Enforcement,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Florida Department of Management Services,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Florida Department of Military Affairs,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Florida Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Florida Department of Veterans Affairs,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Florida Division of Alcoholic Beverages and Tobacco,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Florida Division of Emergency Management,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Florida Fish and Wildlife Conservation Commission,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Florida Lottery,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,The Florida Network of Youth and Family Services,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Florida Photographic Collection,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Florida Public Service Commission,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,State Board of Administration of Florida,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Northwest Florida Water Management District,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Orange County Health Department,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Port Canaveral,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Regional Planning Councils,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,South Florida Water Management District,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Southwest Florida Water Management District,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Space Florida,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,St. Johns River Water Management District,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Suwannee River Water Management District,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Technological Research and Development Authority,,FALSE
en-US,Geopolitical - Agencies,Florida Agencies,Water management districts in Florida,,FALSE
en-US,Geopolitical - Agencies,Georgia Agencies,Georgia Department of Agriculture,,FALSE
en-US,Geopolitical - Agencies,Georgia Agencies,Georgia Alcohol and Tobacco Division,,FALSE
en-US,Geopolitical - Agencies,Georgia Agencies,Georgia Department of Economic Development,,FALSE
en-US,Geopolitical - Agencies,Georgia Agencies,Georgia Department of Education,,FALSE
en-US,Geopolitical - Agencies,Georgia Agencies,Georgia Emergency Management Agency,,FALSE
en-US,Geopolitical - Agencies,Georgia Agencies,Georgia Environmental Finance Authority,,FALSE
en-US,Geopolitical - Agencies,Georgia Agencies,Georgia Historical Commission,,FALSE
en-US,Geopolitical - Agencies,Georgia Agencies,Georgia Department of Juvenile Justice,,FALSE
en-US,Geopolitical - Agencies,Georgia Agencies,Georgia Department of Labor,,FALSE
en-US,Geopolitical - Agencies,Georgia Agencies,Georgia Land Conservation Program,,FALSE
en-US,Geopolitical - Agencies,Georgia Agencies,Georgia Department of Natural Resources,,FALSE
en-US,Geopolitical - Agencies,Georgia Agencies,Northwest Georgia Joint Development Authority,,FALSE
en-US,Geopolitical - Agencies,Georgia Agencies,Georgia Public Service Commission,,FALSE
en-US,Geopolitical - Agencies,Georgia Agencies,Georgia Department of Revenue,,FALSE
en-US,Geopolitical - Agencies,Georgia Agencies,Georgia Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Georgia Agencies,Georgia Regional Transportation Authority,,FALSE
en-US,Geopolitical - Agencies,Hawaii Agencies,Hawai'i Department of Education,,FALSE
en-US,Geopolitical - Agencies,Hawaii Agencies,Hawai'i Department of Land and Natural Resources,,FALSE
en-US,Geopolitical - Agencies,Hawaii Agencies,State of Hawaii Department of the Attorney General,,FALSE
en-US,Geopolitical - Agencies,Hawaii Agencies,Hawaii Department of Health,,FALSE
en-US,Geopolitical - Agencies,Hawaii Agencies,Hawaii Department of Human Services,,FALSE
en-US,Geopolitical - Agencies,Hawaii Agencies,Hawaii Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Hawaii Agencies,Hawaii Division of Conservation and Resource Enforcement,,FALSE
en-US,Geopolitical - Agencies,Hawaii Agencies,"Hawaii Prosecuting Attorney Office, Criminal Investigations Unit",,FALSE
en-US,Geopolitical - Agencies,Hawaii Agencies,Hawaii Public Utilities Commission,,FALSE
en-US,Geopolitical - Agencies,Hawaii Agencies,Hawaii State Foundation on Culture and the Arts,,FALSE
en-US,Geopolitical - Agencies,Hawaii Agencies,Hawaii State Public Library System,,FALSE
en-US,Geopolitical - Agencies,Hawaii Agencies,Office of Hawaiian Affairs,,FALSE
en-US,Geopolitical - Agencies,Idaho Agencies,Idaho Department of Commerce,,FALSE
en-US,Geopolitical - Agencies,Idaho Agencies,Idaho State Department of Education,,FALSE
en-US,Geopolitical - Agencies,Idaho Agencies,Idaho Department of Environmental Quality,,FALSE
en-US,Geopolitical - Agencies,Idaho Agencies,Idaho Department of Fish and Game,,FALSE
en-US,Geopolitical - Agencies,Idaho Agencies,Idaho State Historical Society,,FALSE
en-US,Geopolitical - Agencies,Idaho Agencies,Idaho Military Department,,FALSE
en-US,Geopolitical - Agencies,Idaho Agencies,Idaho Department of Juvenile Corrections,,FALSE
en-US,Geopolitical - Agencies,Idaho Agencies,Idaho Department of Lands,,FALSE
en-US,Geopolitical - Agencies,Idaho Agencies,Idaho Commission for Libraries,,FALSE
en-US,Geopolitical - Agencies,Idaho Agencies,Idaho State Liquor Division,,FALSE
en-US,Geopolitical - Agencies,Idaho Agencies,Idaho Lottery,,FALSE
en-US,Geopolitical - Agencies,Idaho Agencies,Idaho Potato Commission,,FALSE
en-US,Geopolitical - Agencies,Idaho Agencies,Idaho Transportation Department,,FALSE
en-US,Geopolitical - Agencies,Idaho Agencies,Idaho Public Utilities Commission,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois Department on Aging,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois Department of Agriculture,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois Arts Council,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Capital Development Board,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois Department of Central Management Services,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois Department of Children and Family Services,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois Department of Commerce and Economic Opportunity,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois Commerce Commission,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois Bureau of Criminal Investigations,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois State Board of Education,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois State Board of Elections,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois Emergency Management Agency,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois Department of Employment Security,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois Environmental Protection Agency,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois Department of Financial and Professional Regulation,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois Health Benefits Exchange,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois Department of Healthcare and Family Services,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois Historic Preservation Agency,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois Department of Human Rights,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois Department of Human Services,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois Department of Insurance,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois Department of Juvenile Justice,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois Department of Labor,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois State Lottery,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois Municipal Retirement Fund,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois National Guard,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois Department of Natural Resources,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois Department of Public Health,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois Department of Revenue,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Serve Illinois Commission,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois Secretary of State,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,State Universities Retirement System,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Teachers' Retirement System of the State of Illinois,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois State Toll Highway Authority,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Illinois Agencies,Illinois Department of Veterans' Affairs,,FALSE
en-US,Geopolitical - Agencies,Indiana Agencies,Indiana Department of Environmental Management,,FALSE
en-US,Geopolitical - Agencies,Indiana Agencies,Hoosier Lottery,,FALSE
en-US,Geopolitical - Agencies,Indiana Agencies,Indiana Alcohol and Tobacco Commission,,FALSE
en-US,Geopolitical - Agencies,Indiana Agencies,Indiana Department of Administration,,FALSE
en-US,Geopolitical - Agencies,Indiana Agencies,Indiana Department of Education,,FALSE
en-US,Geopolitical - Agencies,Indiana Agencies,Indiana Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Indiana Agencies,Indiana Geological Survey,,FALSE
en-US,Geopolitical - Agencies,Indiana Agencies,Indiana Office of Community & Rural Affairs,,FALSE
en-US,Geopolitical - Agencies,Indiana Agencies,Indiana Utility Regulatory Commission,,FALSE
en-US,Geopolitical - Agencies,Indiana Agencies,Indiana Department of Natural Resources,,FALSE
en-US,Geopolitical - Agencies,Iowa Agencies,Iowa Alcoholic Beverages Division,,FALSE
en-US,Geopolitical - Agencies,Iowa Agencies,Iowa Animal Industry Bureau,,FALSE
en-US,Geopolitical - Agencies,Iowa Agencies,Iowa Department of Education,,FALSE
en-US,Geopolitical - Agencies,Iowa Agencies,Iowa Civil Rights Commission,,FALSE
en-US,Geopolitical - Agencies,Iowa Agencies,Iowa Department of Human Services,,FALSE
en-US,Geopolitical - Agencies,Iowa Agencies,Iowa Department of Natural Resources,,FALSE
en-US,Geopolitical - Agencies,Iowa Agencies,Iowa Department of Public Safety,,FALSE
en-US,Geopolitical - Agencies,Iowa Agencies,Iowa Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Iowa Agencies,Iowa National Guard,,FALSE
en-US,Geopolitical - Agencies,Iowa Agencies,Iowa Utilities Board,,FALSE
en-US,Geopolitical - Agencies,Iowa Agencies,State Historical Society of Iowa,,FALSE
en-US,Geopolitical - Agencies,Kansas Agencies,Adjutant General of Kansas,,FALSE
en-US,Geopolitical - Agencies,Kansas Agencies,Kansas Department of Administration,,FALSE
en-US,Geopolitical - Agencies,Kansas Agencies,Kansas Department of Agriculture,,FALSE
en-US,Geopolitical - Agencies,Kansas Agencies,Kansas Department of Commerce,,FALSE
en-US,Geopolitical - Agencies,Kansas Agencies,Kansas Dental Board,,FALSE
en-US,Geopolitical - Agencies,Kansas Agencies,"Kansas Department of Agriculture, Division of Water Resources",,FALSE
en-US,Geopolitical - Agencies,Kansas Agencies,Kansas Department of Revenue,,FALSE
en-US,Geopolitical - Agencies,Kansas Agencies,"Kansas Department of Wildlife, Parks and Tourism",,FALSE
en-US,Geopolitical - Agencies,Kansas Agencies,Kansas Juvenile Justice Authority,,FALSE
en-US,Geopolitical - Agencies,Kansas Agencies,Kansas Sentencing Commission,,FALSE
en-US,Geopolitical - Agencies,Kansas Agencies,Kansas State Board of Nursing,,FALSE
en-US,Geopolitical - Agencies,Kansas Agencies,Kansas State Department of Education,,FALSE
en-US,Geopolitical - Agencies,Kansas Agencies,State Library of Kansas,,FALSE
en-US,Geopolitical - Agencies,Kansas Agencies,Kansas Lottery,,FALSE
en-US,Geopolitical - Agencies,Kansas Agencies,Office of the Kansas Securities Commissioner,,FALSE
en-US,Geopolitical - Agencies,Kansas Agencies,Kansas Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Kentucky Agencies,Kentucky Department of Education,,FALSE
en-US,Geopolitical - Agencies,Kentucky Agencies,Kentucky Department of Juvenile Justice,,FALSE
en-US,Geopolitical - Agencies,Kentucky Agencies,Kentucky Heritage Council,,FALSE
en-US,Geopolitical - Agencies,Kentucky Agencies,Kentucky Lottery,,FALSE
en-US,Geopolitical - Agencies,Kentucky Agencies,Kentucky Office of Alcoholic Beverage Control,,FALSE
en-US,Geopolitical - Agencies,Kentucky Agencies,Kentucky Public Service Commission,,FALSE
en-US,Geopolitical - Agencies,Kentucky Agencies,Kentucky River Authority,,FALSE
en-US,Geopolitical - Agencies,Kentucky Agencies,Kentucky Space,,FALSE
en-US,Geopolitical - Agencies,Kentucky Agencies,Kentucky State Nature Preserves Commission,,FALSE
en-US,Geopolitical - Agencies,Kentucky Agencies,Kentucky Transportation Cabinet,,FALSE
en-US,Geopolitical - Agencies,Kentucky Agencies,Legislative Research Commission,,FALSE
en-US,Geopolitical - Agencies,Louisiana Agencies,Louisiana Department of Agriculture and Forestry,,FALSE
en-US,Geopolitical - Agencies,Louisiana Agencies,Louisiana State Archive and Research Library,,FALSE
en-US,Geopolitical - Agencies,Louisiana Agencies,Louisiana Coastal Protection and Restoration Authority,,FALSE
en-US,Geopolitical - Agencies,Louisiana Agencies,Crescent City Connection Division,,FALSE
en-US,Geopolitical - Agencies,Louisiana Agencies,Louisiana Department of Education,,FALSE
en-US,Geopolitical - Agencies,Louisiana Agencies,Louisiana Department of Environmental Quality,,FALSE
en-US,Geopolitical - Agencies,Louisiana Agencies,Louisiana Department of Health and Hospitals,,FALSE
en-US,Geopolitical - Agencies,Louisiana Agencies,Joint Task Force Gator,,FALSE
en-US,Geopolitical - Agencies,Louisiana Agencies,Louisiana Office of Juvenile Justice,,FALSE
en-US,Geopolitical - Agencies,Louisiana Agencies,Louisiana Lottery Corporation,,FALSE
en-US,Geopolitical - Agencies,Louisiana Agencies,Louisiana National Guard,,FALSE
en-US,Geopolitical - Agencies,Louisiana Agencies,Louisiana Public Service Commission,,FALSE
en-US,Geopolitical - Agencies,Louisiana Agencies,Louisiana Recovery Authority,,FALSE
en-US,Geopolitical - Agencies,Louisiana Agencies,Southeast Louisiana Flood Protection Authority,,FALSE
en-US,Geopolitical - Agencies,Louisiana Agencies,Louisiana Department of Transportation and Development,,FALSE
en-US,Geopolitical - Agencies,Louisiana Agencies,Louisiana Department of Veterans Affairs,,FALSE
en-US,Geopolitical - Agencies,Louisiana Agencies,Louisiana Department of Wildlife and Fisheries,,FALSE
en-US,Geopolitical - Agencies,Louisiana Agencies,Dirigo Health,,FALSE
en-US,Geopolitical - Agencies,Louisiana Agencies,Maine Arts Commission,,FALSE
en-US,Geopolitical - Agencies,Louisiana Agencies,Maine Bureau of Motor Vehicles,,FALSE
en-US,Geopolitical - Agencies,Louisiana Agencies,"Maine Department of Defense, Veterans, and Emergency Management",,FALSE
en-US,Geopolitical - Agencies,Louisiana Agencies,Maine Department of Education,,FALSE
en-US,Geopolitical - Agencies,Louisiana Agencies,Maine Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Louisiana Agencies,Maine Liquor Licensing and Compliance Division,,FALSE
en-US,Geopolitical - Agencies,Louisiana Agencies,Maine Lottery,,FALSE
en-US,Geopolitical - Agencies,Louisiana Agencies,Maine Public Utilities Commission,,FALSE
en-US,Geopolitical - Agencies,Louisiana Agencies,Maine Warden Service,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland State Department of Education,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland 529,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland Alcohol and Tobacco Tax Bureau,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland Automobile Insurance Fund,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland Aviation Administration,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland Coastal Bays Program,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland Department of Agriculture,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland Department of General Services,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland Department of Health and Mental Hygiene,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland Department of Juvenile Services,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,"Maryland Department of Labor, Licensing and Regulation",,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland Racing Commission,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland Department of Natural Resources,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland Department of Planning,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland Emergency Management Agency,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland Forest Service,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland Health Benefit Exchange,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland Higher Education Commission,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland Historical Trust,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland Horse Industry Board,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland Lottery,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland Military Department,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland Office of Administrative Hearings,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland power plant research program,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland Public Service Commission,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland State Archives,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland State Board of Censors,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland State Commission on Criminal Sentencing Policy,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland State Highway Administration,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland Transit Administration,,FALSE
en-US,Geopolitical - Agencies,Maryland Agencies,Maryland Transportation Authority,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,Massachusetts Alcoholic Beverage Control Commission,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,Berkshire Regional Transit Authority,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,Massachusetts Commission Against Discrimination,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,Department of Conservation and Recreation,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,Division of Fisheries and Wildlife,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,Massachusetts Department of Elementary and Secondary Education,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,Massachusetts Emergency Management Agency,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,Massachusetts Executive Office of Energy and Environmental Affairs,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,Massachusetts Department of Environmental Protection,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,Massachusetts Executive Office of Health and Human Services,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,Massachusetts Highway Department,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,Massachusetts Executive Office of Labor and Workforce Development,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,Massachusetts Lottery,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,Martha's Vineyard Transit Authority,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,Massachusetts Board of Library Commissioners,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,Massachusetts Department of Mental Health,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,Massachusetts Department of Public Health,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,Massachusetts Department of Public Utilities,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,Massachusetts Department of Youth Services,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,Massachusetts Development Finance Agency,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,Nantucket Regional Transit Authority,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,Massachusetts Port Authority,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,Massachusetts School Building Authority,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,Southeastern Regional Transit Authority,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,State Reform School for Boys,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,Massachusetts Toxics Use Reduction Institute,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,Massachusetts Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Massachusetts Agencies,Massachusetts Water Resources Authority,,FALSE
en-US,Geopolitical - Agencies,Minnesota Agencies,Minnesota Housing Finance Agency,,FALSE
en-US,Geopolitical - Agencies,Minnesota Agencies,Minnesota Department of Human Rights,,FALSE
en-US,Geopolitical - Agencies,Minnesota Agencies,Minnesota Indian Affairs Council,,FALSE
en-US,Geopolitical - Agencies,Minnesota Agencies,Iron Range Resources and Rehabilitation Board,,FALSE
en-US,Geopolitical - Agencies,Minnesota Agencies,Minnesota Department of Agriculture,,FALSE
en-US,Geopolitical - Agencies,Minnesota Agencies,Minnesota Department of Corrections,,FALSE
en-US,Geopolitical - Agencies,Minnesota Agencies,Minnesota Department of Education,,FALSE
en-US,Geopolitical - Agencies,Minnesota Agencies,Minnesota Department of Employment and Economic Development,,FALSE
en-US,Geopolitical - Agencies,Minnesota Agencies,Minnesota Department of Labor and Industry,,FALSE
en-US,Geopolitical - Agencies,Minnesota Agencies,Minnesota Department of Natural Resources,,FALSE
en-US,Geopolitical - Agencies,Minnesota Agencies,Minnesota Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Minnesota Agencies,Minnesota Public Utilities Commission,,FALSE
en-US,Geopolitical - Agencies,Minnesota Agencies,Minnesota State Lottery,,FALSE
en-US,Geopolitical - Agencies,Minnesota Agencies,Minnesota Workers' Compensation Court of Appeals,,FALSE
en-US,Geopolitical - Agencies,Minnesota Agencies,Minnesota Pollution Control Agency,,FALSE
en-US,Geopolitical - Agencies,Mississippi Agencies,Mississippi Department of Agriculture and Commerce,,FALSE
en-US,Geopolitical - Agencies,Mississippi Agencies,Mississippi Department of Archives and History,,FALSE
en-US,Geopolitical - Agencies,Mississippi Agencies,Mississippi Department of Education,,FALSE
en-US,Geopolitical - Agencies,Mississippi Agencies,Mississippi Department of Environmental Quality,,FALSE
en-US,Geopolitical - Agencies,Mississippi Agencies,Mississippi Department of Human Services,,FALSE
en-US,Geopolitical - Agencies,Mississippi Agencies,Mississippi Department of Marine Resources,,FALSE
en-US,Geopolitical - Agencies,Mississippi Agencies,Mississippi Department of Mental Health,,FALSE
en-US,Geopolitical - Agencies,Mississippi Agencies,Mississippi Department of Public Safety,,FALSE
en-US,Geopolitical - Agencies,Mississippi Agencies,Mississippi Forestry Commission,,FALSE
en-US,Geopolitical - Agencies,Mississippi Agencies,Mississippi Insurance Department,,FALSE
en-US,Geopolitical - Agencies,Mississippi Agencies,Mississippi National Guard,,FALSE
en-US,Geopolitical - Agencies,Mississippi Agencies,Mississippi Public Service Commission,,FALSE
en-US,Geopolitical - Agencies,Mississippi Agencies,Mississippi State Sovereignty Commission,,FALSE
en-US,Geopolitical - Agencies,Mississippi Agencies,Pat Harrison Waterway District,,FALSE
en-US,Geopolitical - Agencies,Missouri Agencies,Missouri Department of Agriculture,,FALSE
en-US,Geopolitical - Agencies,Missouri Agencies,Missouri Division of Youth Services,,FALSE
en-US,Geopolitical - Agencies,Missouri Agencies,Missouri Conservationist,,FALSE
en-US,Geopolitical - Agencies,Missouri Agencies,Missouri Department of Conservation,,FALSE
en-US,Geopolitical - Agencies,Missouri Agencies,Missouri Department of Corrections,,FALSE
en-US,Geopolitical - Agencies,Missouri Agencies,Missouri Department of Elementary and Secondary Education,,FALSE
en-US,Geopolitical - Agencies,Missouri Agencies,Missouri Department of Natural Resources,,FALSE
en-US,Geopolitical - Agencies,Missouri Agencies,Missouri Department of Revenue,,FALSE
en-US,Geopolitical - Agencies,Missouri Agencies,Missouri Department of Social Services,,FALSE
en-US,Geopolitical - Agencies,Missouri Agencies,Missouri Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Missouri Agencies,Missouri Gaming Commission,,FALSE
en-US,Geopolitical - Agencies,Missouri Agencies,Missouri Lottery,,FALSE
en-US,Geopolitical - Agencies,Missouri Agencies,Missouri Public Service Commission,,FALSE
en-US,Geopolitical - Agencies,Montana Agencies,Montana Historical Society,,FALSE
en-US,Geopolitical - Agencies,Montana Agencies,"Montana Department of Fish, Wildlife and Parks",,FALSE
en-US,Geopolitical - Agencies,Montana Agencies,Montana Department of Natural Resources and Conservation,,FALSE
en-US,Geopolitical - Agencies,Montana Agencies,Montana Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Montana Agencies,Montana Lottery,,FALSE
en-US,Geopolitical - Agencies,Montana Agencies,Montana National Guard,,FALSE
en-US,Geopolitical - Agencies,Montana Agencies,Montana Office of Public Instruction,,FALSE
en-US,Geopolitical - Agencies,Montana Agencies,Montana Public Service Commission,,FALSE
en-US,Geopolitical - Agencies,Nebraska Agencies,Nebraska State Historical Society,,FALSE
en-US,Geopolitical - Agencies,Nebraska Agencies,Nebraska Library Commission,,FALSE
en-US,Geopolitical - Agencies,Nebraska Agencies,Nebraska Department of Economic Development,,FALSE
en-US,Geopolitical - Agencies,Nebraska Agencies,Nebraska Department of Education,,FALSE
en-US,Geopolitical - Agencies,Nebraska Agencies,Nebraska Department of Health & Human Services,,FALSE
en-US,Geopolitical - Agencies,Nebraska Agencies,Nebraska Forest Service,,FALSE
en-US,Geopolitical - Agencies,Nebraska Agencies,Nebraska Public Service Commission,,FALSE
en-US,Geopolitical - Agencies,Nebraska Agencies,Nebraska Department of Roads,,FALSE
en-US,Geopolitical - Agencies,Nebraska Agencies,Nebraska State College System,,FALSE
en-US,Geopolitical - Agencies,Nebraska Agencies,University of Nebraska system,,FALSE
en-US,Geopolitical - Agencies,Nevada Agencies,Nevada Athletic Commission,,FALSE
en-US,Geopolitical - Agencies,Nevada Agencies,Nevada Bureau of Mines and Geology,,FALSE
en-US,Geopolitical - Agencies,Nevada Agencies,Nevada Department of Conservation and Natural Resources,,FALSE
en-US,Geopolitical - Agencies,Nevada Agencies,Nevada Department of Cultural Affairs,,FALSE
en-US,Geopolitical - Agencies,Nevada Agencies,Nevada Department of Education,,FALSE
en-US,Geopolitical - Agencies,Nevada Agencies,Nevada State Ethics Commission,,FALSE
en-US,Geopolitical - Agencies,Nevada Agencies,Nevada Division of Forestry,,FALSE
en-US,Geopolitical - Agencies,Nevada Agencies,Nevada Gaming Commission,,FALSE
en-US,Geopolitical - Agencies,Nevada Agencies,Nevada High-Speed Rail Authority,,FALSE
en-US,Geopolitical - Agencies,Nevada Agencies,Nevada Commission on Ethics,,FALSE
en-US,Geopolitical - Agencies,Nevada Agencies,Nevada Department of Health and Human Services,,FALSE
en-US,Geopolitical - Agencies,Nevada Agencies,Nevada Department of Motor Vehicles,,FALSE
