Term Locale,Term Category,Term,Alias,Case Sensitive
en-US,Accounting - US GAAP,Firm,,False
en-US,Accounting - US GAAP,"First In, First Out",FIFO,False
en-US,Accounting - US GAAP,Fiscal Year,,False
en-US,Accounting - US GAAP,Fixed Annuity,,False
en-US,Accounting - US GAAP,Fixed Assets,,False
en-US,Accounting - US GAAP,Fixed Costs,,False
en-US,Accounting - US GAAP,Fixed Price,,False
en-US,Accounting - US GAAP,Fixture,,False
en-US,Accounting - US GAAP,Floor,,False
en-US,Accounting - US GAAP,Flotation Cost,,False
en-US,Accounting - US GAAP,FOB Destination,,False
en-US,Accounting - US GAAP,FOB Shipping Point,,False
en-US,Accounting - US GAAP,Forecast,,False
en-US,Accounting - US GAAP,Forecasted Balance Sheet,,False
en-US,Accounting - US GAAP,Forecasted Income Statement,,False
en-US,Accounting - US GAAP,Forecasting of Cash Flow,,False
en-US,Accounting - US GAAP,Foreclosure,,False
en-US,Accounting - US GAAP,Foreign Corporation,,False
en-US,Accounting - US GAAP,Foreign Currency Translation,,False
en-US,Accounting - US GAAP,Foreign Exchange,,False
en-US,Accounting - US GAAP,Foreign Tax Credit,,False
en-US,Accounting - US GAAP,Form 10-K,,False
en-US,Accounting - US GAAP,Form 10-Q,,False
en-US,Accounting - US GAAP,Form 8-K,,False
en-US,Accounting - US GAAP,Form W-4,,False
en-US,Accounting - US GAAP,Franchise,,False
en-US,Accounting - US GAAP,Franchise Tax,,False
en-US,Accounting - US GAAP,Fraud,,False
en-US,Accounting - US GAAP,Free Cash Flow,,False
en-US,Accounting - US GAAP,Free On Board,FOB,False
en-US,Accounting - US GAAP,Freight In,,False
en-US,Accounting - US GAAP,Freight Out,,False
en-US,Accounting - US GAAP,Full Disclosure,,False
en-US,Accounting - US GAAP,Fund Accounting,,False
en-US,Accounting - US GAAP,Fundamental Analysis,,False
en-US,Accounting - US GAAP,Funding,,False
en-US,Accounting - US GAAP,Future Contract,,False
en-US,Accounting - US GAAP,Future Value,,False
en-US,Accounting - US GAAP,Gain,,False
en-US,Accounting - US GAAP,General Journal,,False
en-US,Accounting - US GAAP,General Ledger,,False
en-US,Accounting - US GAAP,General Partnership,,False
en-US,Accounting - US GAAP,Generally Accepted Accounting Principles,GAAP,False
en-US,Accounting - US GAAP,Generally Accepted Auditing Standards,GAAS,False
en-US,Accounting - US GAAP,Gift,,False
en-US,Accounting - US GAAP,Going Concern,,False
en-US,Accounting - US GAAP,Going Private,,False
en-US,Accounting - US GAAP,Going Public,,False
en-US,Accounting - US GAAP,Goods Available for Sale,,False
en-US,Accounting - US GAAP,Goodwill,,False
en-US,Accounting - US GAAP,Governing Documents,,False
en-US,Accounting - US GAAP,Government Accountability Office,GAO,False
en-US,Accounting - US GAAP,Governmental Accounting Standards Board,GASB,False
en-US,Accounting - US GAAP,Grantee,,False
en-US,Accounting - US GAAP,Grantor,,False
en-US,Accounting - US GAAP,Greenmail,,False
en-US,Accounting - US GAAP,Gross Income,,False
en-US,Accounting - US GAAP,Gross Margin,,False
en-US,Accounting - US GAAP,Gross Sales,,False
en-US,Accounting - US GAAP,Guaranty,,False
en-US,Accounting - US GAAP,Half-Life,,False
en-US,Accounting - US GAAP,Head of Household,,False
en-US,Accounting - US GAAP,Hedge,,False
en-US,Accounting - US GAAP,Held-to-Maturity Security,,False
en-US,Accounting - US GAAP,High-Low Method,,False
en-US,Accounting - US GAAP,High-Premium Convertible Debenture,,False
en-US,Accounting - US GAAP,Historical Cost,,False
en-US,Accounting - US GAAP,Holding Period,,False
en-US,Accounting - US GAAP,Hope Scholarship Credit,,False
en-US,Accounting - US GAAP,Horizontal Analysis,,False
en-US,Accounting - US GAAP,Improvement,,False
en-US,Accounting - US GAAP,Imputed Interest,,False
en-US,Accounting - US GAAP,In Arrears,,False
en-US,Accounting - US GAAP,Income,,False
en-US,Accounting - US GAAP,Income from Operation,,False
en-US,Accounting - US GAAP,Income Statement,,False
en-US,Accounting - US GAAP,Income Summary,,False
en-US,Accounting - US GAAP,Income Tax Basis,,False
en-US,Accounting - US GAAP,Incorporation,,False
en-US,Accounting - US GAAP,Incremental Cash Flow,,False
en-US,Accounting - US GAAP,Indenture,,False
en-US,Accounting - US GAAP,Independence Standard Board,ISB,False
en-US,Accounting - US GAAP,Independent Broker,,False
en-US,Accounting - US GAAP,Index,,False
en-US,Accounting - US GAAP,Indirect Cost,,False
en-US,Accounting - US GAAP,Indirect Labor Costs,,False
en-US,Accounting - US GAAP,Indirect Manufacturing Costs,,False
en-US,Accounting - US GAAP,Indirect Materials,,False
en-US,Accounting - US GAAP,Indirect Method,,False
en-US,Accounting - US GAAP,Individual Retirement Account,IRA,False
en-US,Accounting - US GAAP,Inflation,,False
en-US,Accounting - US GAAP,Inflation Rate,,False
en-US,Accounting - US GAAP,Inheritance,,False
en-US,Accounting - US GAAP,Initial Public Offering,IPO,False
en-US,Accounting - US GAAP,Inquiry,,False
en-US,Accounting - US GAAP,Inside Information,,False
en-US,Accounting - US GAAP,Insolvency,,False
en-US,Accounting - US GAAP,Insolvent,,False
en-US,Accounting - US GAAP,Installment Method,,False
en-US,Accounting - US GAAP,Institute of Management Accounts,IMA,False
en-US,Accounting - US GAAP,Instrument,,False
en-US,Accounting - US GAAP,Insurance,,False
en-US,Accounting - US GAAP,Insured Account,,False
en-US,Accounting - US GAAP,Intangible Asset,,False
en-US,Accounting - US GAAP,Interest,,False
en-US,Accounting - US GAAP,Interest Coverage Ratio,,False
en-US,Accounting - US GAAP,Interest Rate,,False
en-US,Accounting - US GAAP,Interim Dividend,,False
en-US,Accounting - US GAAP,Interim Financial Statements,,False
en-US,Accounting - US GAAP,Internal Audit,,False
en-US,Accounting - US GAAP,Internal Control,,False
en-US,Accounting - US GAAP,Internal Control Over Financial Reporting,,False
en-US,Accounting - US GAAP,Internal Rate of Return,,False
en-US,Accounting - US GAAP,Internal Revenue Code,,False
en-US,Accounting - US GAAP,Internal Revenue Service,IRS,False
en-US,Accounting - US GAAP,International Accounting Standards Committee,IASC,False
en-US,Accounting - US GAAP,International Mutual Fund,,False
en-US,Accounting - US GAAP,Intrinsic Value,,False
en-US,Accounting - US GAAP,Inventory,,False
en-US,Accounting - US GAAP,Inventory Financing,,False
en-US,Accounting - US GAAP,Inventory Turnover,,False
en-US,Accounting - US GAAP,Invest,,False
en-US,Accounting - US GAAP,Investing,,False
en-US,Accounting - US GAAP,Investment,,False
en-US,Accounting - US GAAP,Investment Banker,,False
en-US,Accounting - US GAAP,Investment Income,,False
en-US,Accounting - US GAAP,Investment Tax Credit,,False
en-US,Accounting - US GAAP,Invoice,,False
en-US,Accounting - US GAAP,Involuntary Conversions,,False
en-US,Accounting - US GAAP,Issue,,False
en-US,Accounting - US GAAP,Issued and Outstanding,,False
en-US,Accounting - US GAAP,Issuer,,False
en-US,Accounting - US GAAP,Jeopardy,,False
en-US,Accounting - US GAAP,Job Order,,False
en-US,Accounting - US GAAP,Joint Return,,False
en-US,Accounting - US GAAP,Joint Venture,,False
en-US,Accounting - US GAAP,Journal,,False
en-US,Accounting - US GAAP,Journal Entry,,False
en-US,Accounting - US GAAP,Junk Bonds,,False
en-US,Accounting - US GAAP,Just-In-Time,,False
en-US,Accounting - US GAAP,Keogh Plan,,False
en-US,Accounting - US GAAP,Key Employee,,False
en-US,Accounting - US GAAP,Key Industry,,False
en-US,Accounting - US GAAP,Key Person Insurance,,False
en-US,Accounting - US GAAP,Kiting,,False
en-US,Accounting - US GAAP,Labor,,False
en-US,Accounting - US GAAP,Laissez-Faire,,False
en-US,Accounting - US GAAP,Land,,False
en-US,Accounting - US GAAP,"Last In, First Out",LIFO,False
en-US,Accounting - US GAAP,Lay Off,,False
en-US,Accounting - US GAAP,Lease,,False
en-US,Accounting - US GAAP,Lease Acquisition Cost,,False
en-US,Accounting - US GAAP,Lease-Purchase Agreement,,False
en-US,Accounting - US GAAP,Leasehold,,False
en-US,Accounting - US GAAP,Ledger,,False
en-US,Accounting - US GAAP,Ledger Account,,False
en-US,Accounting - US GAAP,Lender,,False
en-US,Accounting - US GAAP,Lending Securities,,False
en-US,Accounting - US GAAP,Lessee,,False
en-US,Accounting - US GAAP,Lessor,,False
en-US,Accounting - US GAAP,Letter of Credit,,False
en-US,Accounting - US GAAP,Letter of Intent,,False
en-US,Accounting - US GAAP,Leverage,,False
en-US,Accounting - US GAAP,Leveraged Buy Out,,False
en-US,Accounting - US GAAP,Leveraged Lease,,False
en-US,Accounting - US GAAP,Liability,,False
en-US,Accounting - US GAAP,Lien,,False
en-US,Accounting - US GAAP,Life Expectancy,,False
en-US,Accounting - US GAAP,Lifetime Learning Credit,,False
en-US,Accounting - US GAAP,LIFO Liquidation,,False
en-US,Accounting - US GAAP,Limited Company,,False
en-US,Accounting - US GAAP,Limited Liability,,False
en-US,Accounting - US GAAP,Limited Liability Company,LLC,False
en-US,Accounting - US GAAP,Limited Liability Partnership,LLP,False
en-US,Accounting - US GAAP,Limited Partnership,,False
en-US,Accounting - US GAAP,Liquid Assets,,False
en-US,Accounting - US GAAP,Liquidation,,False
en-US,Accounting - US GAAP,Liquidity,,False
en-US,Accounting - US GAAP,Liquidity Ratio,,False
en-US,Accounting - US GAAP,Listed Property,,False
en-US,Accounting - US GAAP,Date of Accountants' Report,,False
en-US,Accounting - US GAAP,Litigation Support,,False
en-US,Accounting - US GAAP,Loan,,False
en-US,Accounting - US GAAP,Loan Value,,False
en-US,Accounting - US GAAP,Long Bond,,False
en-US,Accounting - US GAAP,Long Term,,False
en-US,Accounting - US GAAP,Long-Term Asset,,False
en-US,Accounting - US GAAP,Long-Term Debt,,False
en-US,Accounting - US GAAP,Long-Term Gain,,False
en-US,Accounting - US GAAP,Long-Term Investment,,False
en-US,Accounting - US GAAP,Long-Term Liability,,False
en-US,Accounting - US GAAP,Long-Term Loss,,False
en-US,Accounting - US GAAP,Loss,,False
en-US,Accounting - US GAAP,Loss on Disposal of Plant and Equipment,,False
en-US,Accounting - US GAAP,Lower of Cost or Market,,False
