Term Category,Chemical (en-US),Chemical (en-GB),Chemical (de-DE),Chemical (es-ES),Chemical (fr-FR),Alias,Case Sensitive
Scientific - Chemicals,dextrose,dextrose,Acid-Citrate-Dextrose; dextrose; Traubenzucker,dextrosa; glucosa,dextrose,Glucose,FALSE
Scientific - Chemicals,diamond,diamond,Diamant,Diamante,Diamant,Carbon,FALSE
Scientific - Chemicals,dichloromethane,dichloromethane,Dichlormethan,Cloruro de metileno,Dichlorométhane,,FALSE
Scientific - Chemicals,diethyl ether,diethyl ether,Diethylether,Éter etílico,Éther diéthylique,,FALSE
Scientific - Chemicals,dimethyl sulfoxide,dimethyl sulfoxide,Dimethylsulfoxid,Dimetilsulfóxido,Diméthylsulfoxyde,,FALSE
Scientific - Chemicals,disappearing ink,disappearing ink,Geheimtinte,Tinta invisible,Encre invisible,,FALSE
Scientific - Chemicals,disodium phosphate,disodium phosphate,Dinatriumhydrogenphosphat,Fosfato disódico,Hydrogénophosphate de sodium,,FALSE
Scientific - Chemicals,dmso,dmso,Dimethylsulfoxid,Dimetilsulfóxido,Diméthylsulfoxyde,,FALSE
Scientific - Chemicals,egg preserver,egg preserver,Eierpfleger,conservante de huevo,conservateur d'oeufs,,FALSE
Scientific - Chemicals,epsom salt,epsom salt,Magnesiumsulfat,Sulfato de magnesio,Sulfate de magnésium,,FALSE
Scientific - Chemicals,etching solution,etching solution,Ätzlösung,solución de aguafuerte,Gravure; solution de gravure,,FALSE
Scientific - Chemicals,ether,ether,Ether,Éter (química),Éther-oxyde,,FALSE
Scientific - Chemicals,ethoxyethane,ethoxyethane,Diethylether,Éter etílico,Éther diéthylique,,FALSE
Scientific - Chemicals,ethyl alcohol,ethyl alcohol,Ethanol; Äthanol,Etanol,Éthanol,grain alcohol; ethanol,FALSE
Scientific - Chemicals,ethylene glycol,ethylene glycol,Ethylenglycol,Etilenglicol,Éthylène glycol,,FALSE
Scientific - Chemicals,ethyne,ethyne,Ethin,Acetileno,Acétylène,,FALSE
Scientific - Chemicals,eugenol,eugenol,Eugenol,Eugenol,Eugénol,,FALSE
Scientific - Chemicals,ferric chloride,ferric chloride,Eisen(III)-chlorid,Cloruro de hierro (III),Chlorure de fer(III),,FALSE
Scientific - Chemicals,ferric oxide,ferric oxide,Eisen(III)-oxid,Óxido de hierro (III),Oxyde de fer(III),,FALSE
Scientific - Chemicals,ferrous ferric oxide,ferrous ferric oxide,"Eisen(II,III)-oxid","Óxido de hierro (II, III)",Tétroxyde de trifer,,FALSE
Scientific - Chemicals,ferrous sulfate,ferrous sulfate,Eisen(II)-sulfat,Sulfato de hierro (II),Sulfate de fer(II),,FALSE
Scientific - Chemicals,flocculating powder,flocculating powder,Kieselsol; Flockungspulver,polvo floculante,poudre floculante,,FALSE
Scientific - Chemicals,formic acid,formic acid,Ameisensäure; Methansäure,Ácido fórmico,Acide méthanoïque; acide formique,,FALSE
Scientific - Chemicals,fructose,fructose,Fructose,Fructosa,Fructose,,FALSE
Scientific - Chemicals,fruit sugar,fruit sugar,Fructose,Fructosa,Fructose,,FALSE
Scientific - Chemicals,galvanised steel,galvanised steel,Feuerverzinken; verzinkter Stahl,acero galvanizado,acier galvanisé,,FALSE
Scientific - Chemicals,galvanised wire,galvanised wire,verzinkter Draht,alambre galvanizado,fil galvanisé,,FALSE
Scientific - Chemicals,glycerin,glycerin,Glycerin; Glycerol; Glyzerin,Glicerol; glicerin,Glycérol; glycérine,glycerol; glycerine,FALSE
Scientific - Chemicals,graphene,graphene,Graphen,Grafeno,Graphène,,FALSE
Scientific - Chemicals,graphite,graphite,Graphit,Grafito,Graphite,Carbon,FALSE
Scientific - Chemicals,gum acacia,gum acacia,Gummi arabicum,Goma arábiga,Gomme arabique,,FALSE
Scientific - Chemicals,gum arabic,gum arabic,Gummi arabicum,Goma arábiga,Gomme arabique,,FALSE
Scientific - Chemicals,gypsum,gypsum,Gips,Yeso (mineral),Gypse,,FALSE
Scientific - Chemicals,hand warmer,hand warmer,Handwärmer,calentador de la mano,chauffe-mains,,FALSE
Scientific - Chemicals,helium,helium,helium,helio,Hélium,,FALSE
Scientific - Chemicals,hexamethylenetetramine,hexamethylenetetramine,Urotropin,Hexametilentetramina,Méthénamine,,FALSE
Scientific - Chemicals,hexamine,hexamine,Urotropin,Hexametilentetramina,Méthénamine,,FALSE
Scientific - Chemicals,hot tub salt,hot tub salt,Whirlpool (Becken),Bañera de hidromasaje,Bain tourbillon,,FALSE
Scientific - Chemicals,hydrochloric acid,hydrochloric acid,Salzsäure,Ácido clorhídrico,Acide chlorhydrique,Muriatic acid,FALSE
Scientific - Chemicals,hydrofluoric acid,hydrofluoric acid,Flusssäure,Ácido fluorhídrico,Acide fluorhydrique,,FALSE
Scientific - Chemicals,hydrogen gas,hydrogen gas,Wasserstoffgas,Hidrógeno comprimido; gas hidrógeno; gas de hidrógeno,hydrogène gazeux,Compressed hydrogen,FALSE
Scientific - Chemicals,hydrogen peroxide,hydrogen peroxide,Wasserstoffperoxid,Peróxido de hidrógeno,Peroxyde d'hydrogène,,FALSE
Scientific - Chemicals,hydroquinone,hydroquinone,Hydrochinon,Hidroquinona,Hydroquinone,,FALSE
Scientific - Chemicals,hypochlorous acid,hypochlorous acid,Hypochlorige Säure,Ácido hipocloroso,Acide hypochloreux,,FALSE
Scientific - Chemicals,ice melter,ice melter,Flugzeugenteisung,derretidor de hielo,Dégivrage,,FALSE
Scientific - Chemicals,iodide,iodide,Iodide,Yoduro,Iodure,,FALSE
Scientific - Chemicals,iodine,iodine,Iod,Yodo,Iode,,FALSE
Scientific - Chemicals,iron sulfate,iron sulfate,Eisensulfat,Sulfato de hierro; sulfato ferroso,sulfate de fer,sulfate of iron,FALSE
Scientific - Chemicals,isocyanuric acid,isocyanuric acid,Cyanursäure; Isocyanursäure,ácido isocianúrico; ácido cianúrico,Acide cyanurique; acide isocyanurique,"Cyanuric acid; 1,3,5-triazine-2,4,6-triol",FALSE
Scientific - Chemicals,kerosene,kerosene,Petroleum,Queroseno,Kérosène,,FALSE
Scientific - Chemicals,killed acid,killed acid,Weinsäure,Ácido tartárico,Acide tartrique,,FALSE
Scientific - Chemicals,lactic acid,lactic acid,Milchsäure,Ácido láctico,Acide lactique,,FALSE
Scientific - Chemicals,latex,latex,Milchsaft,látex,Latex,,FALSE
Scientific - Chemicals,laughing gas,laughing gas,Distickstoffmonoxid; Lachgas,Óxido de nitrógeno; gas hilarante,Protoxyde d'azote,Dinitrogen oxide,FALSE
Scientific - Chemicals,lead,lead,Blei,Plomo,Plomb,,FALSE
Scientific - Chemicals,lead free shot,lead free shot,Schrotkugel,Perdigón munición,Grenaille de plomb,lead-free shot,FALSE
Scientific - Chemicals,lead free sinkers,lead free sinkers,bleifreie Platinen,hechas sin plomo,turluttes sans plomb,lead-free sinkers,FALSE
Scientific - Chemicals,lime,lime,kalk,cal,chaux,Calcium oxide,FALSE
Scientific - Chemicals,limestone,limestone,Kalkstein,Caliza,Calcaire,Calcium carbonate,FALSE
Scientific - Chemicals,linseed oil,linseed oil,Leinöl,Linaza,Huile de lin,,FALSE
Scientific - Chemicals,liquid latex,liquid latex,Latexkleidung; flüssige Latex,látex líquido,atex liquide,,FALSE
Scientific - Chemicals,liquid nitrogen,liquid nitrogen,Flüssigstickstoff,Nitrógeno líquido,Azote liquide,,FALSE
Scientific - Chemicals,lithopone,lithopone,Lithopone,Litopón,lithopone,,FALSE
Scientific - Chemicals,magnesium carbonate,magnesium carbonate,Magnesiumcarbonat,Carbonato de magnesio,Carbonate de magnésium,,FALSE
Scientific - Chemicals,magnesium chloride,magnesium chloride,Magnesiumchlorid,Cloruro de magnesio,Chlorure de magnésium,,FALSE
Scientific - Chemicals,magnesium hydroxide,magnesium hydroxide,Magnesiumhydroxid,Hidróxido de magnesio,Hydroxyde de magnésium,Milk of magnesia,FALSE
Scientific - Chemicals,magnesium silicate,magnesium silicate,Talk (Mineral),Talco,Talc,,FALSE
Scientific - Chemicals,magnesium sulfate,magnesium sulfate,Magnesiumsulfat,Sulfato de magnesio,Sulfate de magnésium,,FALSE
Scientific - Chemicals,magnetite,magnetite,Magnetit,Magnetita,Magnétite,,FALSE
Scientific - Chemicals,manganese dioxide,manganese dioxide,Mangan(IV)-oxid,Óxido de manganeso (IV),Dioxyde de manganèse,,FALSE
Scientific - Chemicals,masonry cleaner,masonry cleaner,Mauerreiniger,limpiador de mampostería,doux à maçonnerie,,FALSE
Scientific - Chemicals,methane,methane,Methan,Metano,Méthane,,FALSE
Scientific - Chemicals,methanoic acid,methanoic acid,Ameisensäure; Methansäure,Ácido fórmico,Acide méthanoïque,formic acid,FALSE
Scientific - Chemicals,methyl alcohol,methyl alcohol,Methylalkohol; methanol,Metanol; alcohol metílico,Méthanol; alcool méthylique,wood  alcohol; methanol,FALSE
Scientific - Chemicals,methyl ethyl ketone,methyl ethyl ketone,Butanon,Butanona,Butanone,MEK,FALSE
Scientific - Chemicals,methyl ethyl ketone peroxide,methyl ethyl ketone peroxide,Methylethylketonperoxid ,El peróxido metil-etil-ketone,Peroxyde de méthyléthylcétone,,FALSE
Scientific - Chemicals,methyl isobutyl ketone,methyl isobutyl ketone,Methylisobutylketon,metil isobutil cetona,Méthylisobutylcétone,MIBK,FALSE
Scientific - Chemicals,methyl salicylate,methyl salicylate,Salicylsäuremethylester,Salicilato de metilo,Salicylate de méthyle,oil of wintergreen,FALSE
Scientific - Chemicals,methylene blue,methylene blue,Methylenblau,Azul de metileno,Bleu de méthylène,,FALSE
Scientific - Chemicals,methylene chloride,methylene chloride,Dichlormethan,Cloruro de metileno,Dichlorométhane,Dichloromethane;  DCM,FALSE
