Term Category,Element (en-US),Element (en-GB),Element (de-DE),Element (fr-FR),Element (es-ES),Symbol,Alias,Case Sensitive
Scientific - Elements,Roentgenium,Roentgenium,Roentgenium,Roentgenium,Roentgenio,Rg,,FALSE
Scientific - Elements,Rubidium,Rubidium,Rubidium,Rubidium,Rubídio,Rb,,FALSE
Scientific - Elements,Ruthenium,Ruthenium,Ruthenium,Ruthénium,Rutenio,Ru,,FALSE
Scientific - Elements,Rutherfordium,Rutherfordium,Rutherfordium,Rutherfordium,Ruterfordio,Rf,,FALSE
Scientific - Elements,Samarium,Samarium,Samarium,Samarium,Samário,Sm,,FALSE
Scientific - Elements,Scandium,Scandium,Scandium,Scandium,Escandio,Sc,,FALSE
Scientific - Elements,Seaborgium,Seaborgium,Seaborgium,Seaborgium,Seaborgio,Sg,,FALSE
Scientific - Elements,Selenium,Selenium,Selen,Sélénium,Selenio,Se,,FALSE
Scientific - Elements,Silicon,Silicon,Silicium; Silizium,Silicium,Silicio,Si,,FALSE
Scientific - Elements,Silver,Silver,Silber,Argent,Plata,Ag,,FALSE
Scientific - Elements,Sodium,Sodium,Natrium,Sodium,Sodio,Na,,FALSE
Scientific - Elements,Strontium,Strontium,Strontium,Strontium,Estroncio,Sr,,FALSE
Scientific - Elements,Sulfur,Sulfur; sulphur,der Schwefel,Soufre,Azufre,S,sulphur,FALSE
Scientific - Elements,Tantalum,Tantalum,Tantal,Tantale,Tántalo,Ta,,FALSE
Scientific - Elements,Technetium,Technetium,Technetium,Technétium,Tecnecio,Tc,,FALSE
Scientific - Elements,Tellurium,Tellurium,Tellur,Tellure,Teluro,Te,,FALSE
Scientific - Elements,Tennessine,Tennessine,Tenness,Tennessine,Tenesino,Ts,,FALSE
Scientific - Elements,Terbium,Terbium,Terbium,Terbium,Térbio,Tb,,FALSE
Scientific - Elements,Thallium,Thallium,Thallium,Thallium,Talio,Tl,,FALSE
Scientific - Elements,Thorium,Thorium,Thorium,Thorium,Tório,Th,,FALSE
Scientific - Elements,Thulium,Thulium,Thulium,Thulium,Túlio,Tm,,FALSE
Scientific - Elements,Tin,Tin,Zinn,Étain,Estaño,Sn,,FALSE
Scientific - Elements,Titanium,Titanium,Titann,Titane,Titanio,Ti,,FALSE
Scientific - Elements,Tungsten,Tungsten,Wolfram,Tungstène,Wolframio,W,Wolfram,FALSE
Scientific - Elements,Uranium,Uranium,Uran,Uranium,Uranio,U,,FALSE
Scientific - Elements,Vanadium,Vanadium,Vanadium,Vanadium,Vanadio,V,,FALSE
Scientific - Elements,Xenon,Xenon,Xenon,Xénon,Xenón,Xe,,FALSE
Scientific - Elements,Ytterbium,Ytterbium,Ytterbium,Ytterbium,Itérbio,Yb,,FALSE
Scientific - Elements,Yttrium,Yttrium,Yttrium,Yttrium,Itrio,Y,,FALSE
Scientific - Elements,Zinc,Zinc,Zink,Zinc,Zinc,Zn,,FALSE
Scientific - Elements,Zirconium,Zirconium,Zirkonium,Zirconium,Circonio,Zr,,FALSE
